batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,145500,0,21800,844
1,1,,,,759400,9537,213800,259800
1,2,,"capcut, capcutplantilla, iamferv, velocity, erick_aep, apoyo%3F, fyp%E3%82%B7, foryou, parati, viralvideo, aftereffects",,126700,1710,19100,919
1,3,,,kimberly.loaiza,704100,5479,46400,9698
1,4,,"viral, fyp, foryou, bracelets, colorful, teacher, 5thgrade, fyp%E3%82%B7, blowthisup, drip, trending, xyzabc, xyzbcafyp%E3%82%B7",,673400,3067,52100,868
1,5,,"amosdeluniverso, spiterman",francoescamillaofficial,2300000,11800,163500,100600
1,6,,,,6000000,40200,405800,114800
1,7,,,,435900,5546,25000,6860
1,8,,"fortnite, fortniteclips, fortnitememes, fyp",,331500,2694,53700,2912
2,0,,"missycooper, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",,706300,4218,145800,2685
2,1,,dog,,110200,547,11100,1242
2,2,,,,686600,2193,73300,6049
2,3,,"car, auto, cartiktok, cars",,391200,4441,70500,54700
2,4,,"jt, nobars, nofood, spoiled",,1500000,10300,148000,21100
2,5,,"taekwondo, fyp, martialarts, poomsae, forms, resistancebands",,201300,2458,23000,5201
2,6,,"hvactechnician, ahrexpo2024, hvaclife, hvac, nylogblue, hvacarmy, hvaccontractor, hvacservice, hvacr, hvactech",,164700,667,6176,646
2,7,,"youcantfindalex, alex, alexsito, chino, adolla, holla4adolla, dramatic, fyp, fypp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral",,572500,745,65500,2141
2,8,,"@uncreative_mental, beamngdrive, cargames, racinggames, fh5, nfs",,421300,3316,69000,5230
2,9,,"tesla, supercharger, car, electric, gas",,3200000,33900,168200,16700
2,10,,"jesus, 1billionviews, keepbeingviral, amen%F0%9F%99%8F, prayer, bible, christianity, dios, pray",,104200,17500,10300,9046
2,11,,,kimberly.loaiza,639700,5740,37800,1878
2,12,,,,3600000,12800,285900,16700
2,13,,"nancy, momolandnancy, foryou, fyp, fyp%E3%82%B7",,27700,425,1789,387
2,14,,,,210200,949,28100,1467
2,15,,@chinguamiga,,278900,727,10400,542
2,16,,"josepe, xavi, pesopluma, ladiabla",,169000,1401,14000,461
2,17,,"space, universe, astronomy, wormhole",,507200,5331,60100,2580
2,18,,,,348300,1130,24400,1642
2,19,,"carlos_eduardo_espina, chicoruizzzz, @carly2726, @just.norag, @cristal.la.chapis.87, @veronica_iba, @chofis0568, @chicoruizzz, @lunabarahona, @soynaty35",,116100,980,6979,25500
2,20,,"leidys_sotolongo, parati, comedia, xyzbca, fypg, pov, vikingos, navidad, funny",,30000,102,2059,131
2,21,,"capcut, perritostiktokers, yavalio, perritosasustados, fronteramexicousa, tacosmexico, purasfallas",,86300,709,7861,10400
2,22,,"nosepiercing, piercing, piercings, piercinglovers, piercingcheck, piercingstudio, piercingvideo, piercingtok, piercingtiktok, vairal, fyp, allfake%E2%9A%A0%EF%B8%8F",,406800,2620,20600,3135
2,23,,,louiecastro,397700,399,14700,611
2,24,,parati,,1000000,2197,89700,41700
2,25,,,,5600000,8880,374000,28100
2,26,,"samsungs9, galaxys9, s9, cheapmobiledubai, malikmubashar333",,72600,992,3445,1730
2,27,,"recipes, asmr, foodtok, fyp%E3%82%B7, primalgourmet, beef, carnemechada",,525700,4301,76200,12400
2,28,,"funnycats, funnyanimals, funnypets",,713600,12200,83400,90500
3,0,50 STATES - DELiLAH,"handwriting, handwritingchallenge, 50statessong, fyp, handwritingcheck, handwritingvideos, norashandwriting",noorrraaaaaaaa,231500,1201,39500,1365
3,1,original sound - niya,"fyp%E3%82%B7, thegrinch, twins, finalsweek",madimaet,123600,481,15100,1333
3,2,original sound - Dios Es Amor Y Bueno,"jesus, dios, orar, bible, god, godsword, christian",diosesamorybueno_,375900,61100,35400,40800
3,3,Funny Song - Funny Song Studio & Sounds Reel,,infamous_wu13,182300,4334,23700,377
3,4,im god slowed - raisin,"foryou, sunsets",dz1p1,3400000,17400,475600,32700
3,5,Big boy - 🫂,,kikakiim,945100,4077,39700,1654
3,6,original sound - Sound Central,"icy, funnydogs, greatdane",kaylyreed,3100000,19900,272400,84800
3,7,original sound - Appleshopier,"iphone14, iphone14pro, iphone14promax, deeppurple, apple, iphone13promax, magsafe, applewallet, applewatch, tech, techtips, iphone13pro, iphone13, iphonemini, ultra, iphone15promax, iphone15ultra",appleshopierus,117200,489,8039,943
3,8,La Chona - Los Tucanes De Tijuana,"molcajete, foodtok",coamexicaneatery,319900,4852,21000,24500
3,9,From Tha Back - lil.Eaarl,"fyp%E3%83%84, foryoupage, identicaltwins, dance",zaii623,1200000,2917,174800,7612
3,10,original sound - Gelrova,"cars, stance, tunemaxstyle",gelrova_,611000,4011,122000,17100
3,11,original sound - ꧁༺𝓑༒Ḿ༻꧂,"dragonball, animation, satisfying",supermovie04,749900,5161,93900,41100
3,12,original sound - Ո ᖵ Ո ᖵ 💤,,fufum4r,789300,1118,44400,4161
3,13,Love You So - The King Khan & BBQ Show,"basketball, nba, sports, fyp%E3%82%B7",pulluphoops,53900,71,3844,294
3,14,original sound - Fan Adam A.R👷‍♂,"construction, constructionsite, adamrose, adamrose99, funny, funnyvideos",adamrose99,512299,717,20000,617
3,15,sonido original - Iván Martínez Baltaz,,kimberly.loaiza,801000,7992,41100,1314
3,16,original sound - Secret Service Scoop,,secret_service_scoop,820500,13700,52400,4527
3,17,Por Dentro - Rels B & Kenia OS,,keniaos,2300000,11900,81100,3413
3,18,WHATEVER YOU DO DONT SEARCH COBY SOSAA ON YOUTUBE - LilWopDgaf 🅱️,@bellapayton12,kirrah7,282300,793,14900,6249
3,19,original sound - Gabby Vargas👑,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",mamadelosprincesos6,399500,724,25700,363
3,20,original sound - mzmcu,"edit, spiderman, theamazingspiderman, andrewgarfield, aftereffects",mzmcu,1300000,2541,165700,8367
3,21,jumpstyle1 - voveewwqq((Monsterkill)),"fyp, dog",french_lunch,658800,3930,74100,15700
3,22,sonido original - gylianmakeup,"cabello, splitenderpro, hair, pantallaverde, fyp",gylianmakeup,172300,1249,19700,4009
3,23,original sound - Landen Purifoy,"piano, practice, namm, musician",landenpurifoy,722800,3518,68000,1083
3,24,original sound - goddess.of.survival?,,annaisspaulino,315600,2679,34000,3834
3,25,I Got 5 On It - Tethered Mix from US - Michael Abels & Luniz,"creepy, horror, scary, spooky, haunted",spooky.states,285100,3932,64300,13900
3,26,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",krissleos,88300,1059,9106,634
4,0,mario sound - mandycap,"contenido, nofio",keniaos,1500000,11700,48100,1234
4,1,original sound - ★,,karenbarreraoficial,4900000,31500,270700,21700
4,2,Bad Boy! (feat. Kenia OS) - Bella Poarch,@bellapoarch,keniaos,1400000,11000,55800,7437
4,3,original sound - Dios Es Amor Y Bueno,"jesus, dios, orar, bible, god, godsword, christian, biblia, fe, amor",diosesamorybueno_,534300,122400,52000,18600
4,4,GO TO WORK LADIES by Chris Mula - mula,"2024, blowup, trending, gotowork, viral, fyp, happynewyear, blueface",mulaaherdaddy,406800,411,41000,1293
4,5,original sound - Clifton Dean,,cliftondean,544300,1037,22200,467
4,6,Never Lose Me - Flo Milli,"lippiercing, piercing, piercings, piercinglovers, piercingcheck, piercingstudio, piercingvideo, piercingtok, piercingvideos, piercingsoftiktok, vairal, fyp, allfake%E2%9A%A0%EF%B8%8F",piercing.pigs,107600,1416,7063,1532
4,7,original sound - markeshafl,"tos, dolor, cuello, garganta, lim%C3%B3n, miel, salud, consejo, consejos",markeshafl,107000,459,34500,53300
4,8,sonido original - Daniel Ruiz💙,"gracias, papito, dios, graciasdios, graciastiktok, papito2023, diosviral",frangeliscayama,14900,438,1173,426
4,9,original sound - That funny guy 😆,tiktok,lilwavvevlogs,2200000,28000,268300,29000
4,10,2pa2 - 🧿📿,"fyp, school, bsf",wingstoplover456,195100,1712,24900,1689
4,11,original sound - ꜱɪɪʀʀᴇᴅ,"klausmikaelsonedit, elijahmikealsonedit, tvdposts, tvdedits, thevampirediariesedit, tvduniverse, fyp, foryoupage, foryou, viral",siirred,696400,2822,106200,6017
4,12,original sound - WaterSplashX,"watergun, waterfight, watertoy, watersports, waterfuntime",watersplashx,1100000,9647,132200,77000
4,13,original sound - Toyy,"paper, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,285100,2890,30600,4145
