batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,sonido original - 🫣ZHANE OFICIAL 🙈,,zhane_oficial,294600,512,23300,3469
1,1,sonido original - ♻️Verano y sus teclados 🇲🇽,"mylove%F0%9F%92%95%F0%9F%92%91, parati%F0%9F%92%95, viral, fyp, capcut",yarecorrea25,47100,4924,1318,190
1,2,nhạc nền - us.cominghome.99,"fyp%E3%82%B7, foryou, foryoupage, fyp, cominghome, surprise, cominghomesurprise, comebackhome, saudade, viralvideo, viraltiktok",us.cominghome.99,30500,155,1836,575
1,3,original sound - Mauro Chú,humosrtiktok%F0%9F%A4%AD%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82si,niky.minion,104300,702,5173,780
1,4,"Mariposa Traicionera, Marimba de Guatemala - Internacionales Conejos",,kattyrodas502,119900,2994,6138,783
1,5,sonido original - Nirvana Auqui,"humor, viral, vecinos, resuelve, esposo, pastillaazulita",the.real_nirvana,28800,319,3449,2988
1,6,sonido original - BigChungus,,bigchungus_oficial,507700,4500,33900,1193
1,7,original sound - Rck_pineda,fyp%E3%82%B7,notiarumont,359800,1177,25700,9077
2,0,original sound - Sindy,"@mariokenerbones, ccsindy, paratii, fypp, storytime, espa%C3%B1ol",sindy_17k,3756,116,1057,93
2,1,sonido original - 🍂 Guilmer López 🍂,,.guilmerlopez,454,30,19,1
2,2,original sound - Los_chicaneros,,los_chicaneros,3200000,23900,176700,59600
2,3,sonido original - Cocho hd,"viral, fya, reels, reflexiones, triste, espa%C3%B1a%F0%9F%87%AA%F0%9F%87%B8, espa%C3%B1a",cochohd01,5521,47,738,96
2,4,Never Lose Me - Flo Milli,"rdl, glutes, quads",_liltam,198700,1350,17100,2050
2,5,nhạc nền - jcandsondra,,jc207mmm,258399,725,13100,1436
2,6,sonido original - Online Productions,reflexion,onlineproductions.ec,2267,25,338,19
2,7,sonido original - EVENINGS OF LOVE ♥️,parati,estelitaamaya403,367,43,19,0
2,8,sonido original - Documental_502,documental,documental_24,10800,102,836,204
2,9,original sound - Michael And Friends,,michaelvufriends,167500,14800,17400,21700
2,10,Sin Pijama - Becky G & NATTI NATASHA,"miraculouszepeto, miraculousmemes, adrien, marinette, chloe, kagami, vs, zepeto, zepeto_crew01, zepetotiktok, zepetofyp, zepetostyle, zepetoindonesia, zepetoboy, zepetogirl, zepetoapp, zepetoofficial, zepetousa, bride, groom, wedding, marriage, married, comic, tiktokcomic, cartooncharacters, cosplay, meme, memes, cartooncharacter, marinettedupaingcheng, chloebourgeois, kagamitsurugi, adrienagreste, miraculous, capcut, tiktokpromote, foryou, fyp, viral, goviral, foryoupage, fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, fun, justforfun, funny, funnyvideos",zepeto_crew01,4037,4625,383,100
2,11,sonido original - El Gafo,,el.gafo,38100,472,3074,1663
2,12,sonido original - Pau,"pabloelping%C3%BCino, thebackyardigansedit, mamisoytuvaquero, fyp, fyp, fyp, fyp, fyp, fyp, goviral, viral, viral, viral, editrandom, fyp, viral, trend",charlyeditstiktok,2400000,10500,288900,45500
2,13,оригинальный звук - ynogasai,"funnyvideo, funny, fyp, trending",_funny.official,19000,215,2953,809
2,14,Lovin On Me - Jack Harlow,"fyp, egirl, viral, fakebody",daisybloomss,97100,687,8806,311
2,15,Tu No Metes Cabra - Remix - Bad Bunny,"fyp%E3%82%B7, fyp, abelg_g, parati, ecomuro, feliz2024",columpiogigante,479500,2703,29600,22700
2,16,оригинальный звук - никто,,esterbron1,43900,357,138900,477
2,17,الصوت الأصلي - زهرة,"%D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87_%D8%AF%D8%B1%D8%A7%D9%85%D8%A7, %D8%AC%D9%87%D8%A7%D8%AF_%D8%A7%D9%84%D8%B4%D9%85%D8%B1%D9%8A%F0%9F%92%99, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_",zhra2476,8004,463,834,2025
2,18,الصوت الأصلي - 🦋✨YOKA✨🦋,"explore, wow, kesfet, ke%C5%9Ffet, parati, asmr, stitch",yyyuiuu,30600,204,3240,892
2,19,sonido original - ꜱᴏɴɢ ᴛɪᴍᴇ,"wheneverwherever, enparatiiii",eliza15167,18800,1717,1377,36
2,20,Dance In The Dark (Deep House) - 阿增&苏七岁&气质隆Sir,,flaquita__ff,41000,1827,2549,137
2,21,nhạc nền - Survival Channel,"halleyquinn, granny, huggywuggy, troll, scarytiktoks, scaryteacher, scayteacher3d, scaryteachergame, niece, nick, tani, hero, funny, funnyvideos, parati, paratii, fyb, fyb%E3%82%B7, vairl, vairal, coffindance, squid, squidgamenetflix, squidgame, trending, trend, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, vairalvideo, bravo, brave, cartoon, animation, animations, squidgame, squidgamenetflix, superman, usa, usa%F0%9F%87%BA%F0%9F%87%B8, usatiktok, us",survivalnature_channel,639400,11900,100600,249800
2,22,original sound - Editx,"meme, puppy, yuuichikatagiri, tomodachigame, joke",ed1tx0o,107000,1252,9783,1107
2,23,original sound - Global Dance Supreme,fyp,zay3locked,292500,17600,17300,2281
2,24,sonido original - YanLyrics,,santasfutbolclub,37700,103,2145,138
2,25,sonido original - El Ricardin,,ricardomendoza6180,577400,5115,34300,21000
2,26,sonido original - Dunia santos 🤍,"bizchocita_baby, bizcochita_santos, %F0%9F%87%AD%F0%9F%87%B3%E2%99%A5%EF%B8%8F, army, fyp, viral, dunia, honduras504%F0%9F%87%AD%F0%9F%87%B3catracha, military, latina, parati, mili, viral, parati, honduras%F0%9F%87%AD%F0%9F%87%B3, dunia, army, bizcochitos, trends, blowup",bizcochita_baby,303200,8925,11900,2352
2,27,sonido original - qqqqq,,yvrln.ag,29,3,0,0
3,0,original sound - 🦇.,"edits, e4n%F0%9F%92%99%F0%9F%95%8A%EF%B8%8F, e4notti%F0%9F%95%8A, flyhigh, nottiosama%F0%9F%95%8A, dabronxnyc, edotbaby, forever17%F0%9F%92%99%F0%9F%95%8A, forever14%F0%9F%92%99%F0%9F%95%8A%EF%B8%8F, lln%F0%9F%95%8A%EF%B8%8F%F0%9F%92%99, drill, fyp%E3%82%B7, sugarhill",big_oyogzx,121,33,31,1
3,1,original sound - JustinFlom,,justinflom,1500000,7800,108500,25900
3,2,Love You So - The King Khan & BBQ Show,,chypdeplo1,3300000,58600,645400,88200
3,3,original sound - 🦇.,"sugarhill, fyp%E3%82%B7, drill, lln%F0%9F%95%8A%EF%B8%8F%F0%9F%92%99, forever14%F0%9F%92%99%F0%9F%95%8A%EF%B8%8F, forever17%F0%9F%92%99%F0%9F%95%8A, edotbaby, dabronxnyc, nottiosama%F0%9F%95%8A, flyhigh, e4n%F0%9F%92%99%F0%9F%95%8A%EF%B8%8F, e4notti%F0%9F%95%8A",big_oyogzx,172,6,36,0
3,4,sonido original - Biiiiaaa✨🐽💫,"paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, flyp%E3%82%B7, shalom, amistad, batallitasamistosas, emocionante, @joseluisbaltasar8",beaferre96,2446,499,182,49
3,5,BELLAKEO - Tiktok - Peso Pluma & Anitta,"bellakeo, pesopluma, contenidodeanitta, anittaespa%C3%B1ol, temazo, parati, tiktokinthemix, nickinicole",anittafunkstarr,443300,2805,32200,3832
3,6,original sound - Tonyfrancog.MX,"speed, influencer",tonyfrancog.mx,2587,13,378,28
3,7,sonido original - Xavi🌀,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii%F0%9F%A6%8B,vlogs_sofia8,30,8,5,0
3,8,الصوت الأصلي - نور العين 1,,noor.al.ain111,860600,9233,62800,19300
3,9,sonido original - Ezequiel De Luca,"cupido, friendzone",ezequieldeluca_,107000,1344,13200,1913
3,10,Love - Revember,,vivianralena,19000,4320,1458,821
3,11,sonido original - Morenitos,"coupleprank, morenitos, parati, foryou, fyp, broma",morenitosoficial,120900,1068,8449,2596
3,12,sonido original - Edith,@user3836900785362,edithso19,7839,320,362,147
3,13,original sound - WeroSonora🧔🏻‍♂️,capcut,yane.kimberly,20800,977,347,31
3,14,sonido original - Tomix y naty dr.,"tiktok, tendencia",tomasynataliar,30400,152,2277,937
3,15,Tropa do 244 X na Pista Cortando de Giro - DG DO BROOKLYN & Dj Lafon Do Md,"amazfitsmartwatch, ama, amazfit, amazfitbrasil, allways, futevolei, futevoleifeminino, futevoleifeminimo",rafaparracho,685400,2838,76500,5332
3,16,sonido original - marianovargas123,,losdelancla27,2057,0,189,43
3,17,Bbyyyhelen - Bbyhelen,,gime6625,30,0,1,0
3,18,sonido original - Vazquez Cano,,sonytime2.7,605500,14600,56900,8472
3,19,Déjame saber - Dei🌙,"trend, trending, relaciones, amarrado, %F0%9F%98%82%F0%9F%98%82, jh04nm_bblack01, fyp, elbonitillo%F0%9F%92%8E%F0%9F%87%A9%F0%9F%87%B4, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, viral, parati, %F0%9F%98%AD%F0%9F%98%AD%F0%9F%98%AD, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, capcut",jh04nm1,1700000,2836,152300,15700
3,20,Tu Eres una Celosa Yo No Soy Celosa - Ingrid Laien & Los del fino,,jtksv,20,2,3,0
3,21,sonido original - 😍🌹,,bandogorls_120,14,0,3,0
3,22,sonido original - El Corito Sano,fyppppppppppppppppppppppp,el_coritosanoo,8100,236,505,1186
3,23,nhạc nền - Biba Bibu,"baby, cutebaby, babytok, babycute, embe, funnybaby, babyboogers, momlife",biba.bibo08,1900000,20800,96600,49100
3,24,sonido original - BoobaTV_ ☑️,"amor, humor, parati, madrid, espa%C3%B1a",boobatv_,27500,24,3729,258
3,25,La vie en rose (Cover Edith Piaf) - 田东昱,"@travesspeaks, origami, stockingstuffers",valentinabalance,249600,1504,69300,36500
3,26,Only Love Can Hurt Like This (Slowed Down Version) - Paloma Faith,mtbro,mahendramagar009,246900,17300,48000,98700
3,27,sonido original - Audy Producciones,,audyproductions,75800,640,6762,736
3,28,sonido original - EL LOBO ORTIZ🐺,,irenelopez2003,10900,581,1020,4170
3,29,original sound - Amparito,"multiaverso, episodeisekaicapcut, alzheimer, alzheimers, alzheimersdisease, alzheimerscare, alzheimerpuertorico, amordemadreehijo, alzheimersawareness%F0%9F%92%9C, alzheimerspecialcare, educandoalmundo, aibonitopr, alzheimerseducation, metiroporlaventa, alzheimercaregiversupport, capcut, viraltemplate",amparito9427,5282,92,73,5
4,0,Past Lives Spongebob AI - AlfaRivalesMatal🎶,"jesus, jesuslovesyou, jesusisking, jesussaves",luck1684ww0,337200,61900,84800,23900
4,1,original sound - Ivana Andrews,,ivanaandrews1,2200000,7098,190100,31100
4,2,original sound - RANGO TENGE TENGE 🇺🇬,@rangotengetenge,noelgoescrazy,12700000,116400,916500,261300
