batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Ale 🤍,"foryou, ootd, outfitoftheday, bf, matchingoutfits",alexandraa.aa__,160200,245,7314,360
1,1,original sound - Claudia Sámano,"claudiasamano, claudiasamanomakeup, maquillaje, makeup, foryou, mexico",claudia.smano1,100000,552,4550,407
1,2,original sound - Mx. Barbie,"fyp, foryou, mx.barbie",mx.barbie69,92900,362,0,0
1,3,sonido original - Ariadna M.,"parati%F0%9F%92%96%F0%9F%92%93%F0%9F%92%9E, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, storytime, tiktokfashion",ariadnamaciels,28200,94,0,0
1,4,sonido original - LU LUDEÑA #116,@lautarovirar,marianelagaribogl,23600,498,0,0
1,5,Originalton - ✞,"aespa, %EC%97%90%EC%8A%A4%ED%8C%8C, KARINA, %EC%B9%B4%EB%A6%AC%EB%82%98, WINTER, %EC%9C%88%ED%84%B0",aespa_official,2300000,14700,0,0
1,6,original sound - nikkabesnappin,"fyp, foryou, foryoupage",nikkabesnappin,317500,12200,0,0
1,7,UN BETA - Briella,@lipssid,briellamusica,86300,884,0,0
2,0,Hot people using this sound - Mars,,aselmustafaeva7,46600,306,2410,204
2,1,orijinal ses - caner,,raidess,255300,2957,17800,1753
2,2,sonido original - NICO VOUTRINAS ☻,,nicovoutrinas,371700,3100,17500,752
2,3,Fluffing a Duck - Kevin MacLeod,,_zhakibaevat__,79800,296,5389,392
2,4,Raindrops Keep Falling On My Head - B.J. Thomas,,soyelduncan2,73800,1300,3413,9495
2,5,Happily Ever After - TOMORROW X TOGETHER,"fyp, happyeverafter, txt",jdopetrash,84000,282,4079,250
2,6,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,"h2, jk, 3d",h2.day,201500,462,11400,698
2,7,sonido original - AilyneM,"@klismanricaldi_27, fyp%E3%82%B7, migrantesvenezolanos, usa",ailynem,3802,138,144,16
2,8,sonido original - KOLOCHO YT,"freefire, garenafreefire, fyp%E3%82%B7, parati",kolochoyt,51500,0,8588,6164
2,9,LALALALA (Short Ver.) - Stray Kids,"hyunjin, straykids, hyunjinfancam, lalalala, straykids_lalalala, fypp, meidkv",meidkv,1900000,19800,302600,26500
2,10,시작 - 가호,"studyinkorea, estudiaencorea, becas, scholarship, southkorea, korea, corea, estudianteinternacional, beca, estudiaenelextranjero, yonsei, yonseiuniversity, yonseistudent, %EC%97%B0%EC%84%B8%EB%8C%80%ED%95%99%EA%B5%90, becasparaestudiar, becasparalatinos, bolivia, latinosencorea, fyp",andreitanicol_c,39300,413,6766,412
2,11,sonido original - Waldir Maqque,"nacho, nachos, huacamole, mexico%F0%9F%87%B2%F0%9F%87%BD, cocina, campo, tradicional, andes, pisac, cusco, peru, parati, soycreador, waldirmaqque, pyf, soycreadordecontenido, riquito, chequea, aprende, %F0%9F%87%B2%F0%9F%87%BD, moraya, cocinatradicional, comidamexicana, yeni",waldir.maqque,178200,2143,10400,1025
2,12,Virtual Diva - Don Omar,"topquality, importacion, parejas",janncarjuarez,11300,39,1207,843
2,13,original sound - 68grp,@mr_papucho,yodabeibi,220500,1082,24900,5006
