batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - الله يعين,"nfl, kansascitychiefs, sanfrancisco49ers, superbowl, celebration, taylorswift",,170000,3326,7880,1022
1,1,,"nfl, superbowl, cheifs, traviskelce, andyreid",,44300,750,1636,325
1,2,,"nfl, superbowl, sblviii, 49ers, kansascitychiefs",,163300,1255,7791,214
1,3,,"nfl, traviskelce, taylorswift, chiefs, swifties, superbowl",,258899,1165,7280,7549
1,4,,"nfl, nflhonors, dallascowboys, jerryjones, keeganmichaelkey",,30900,101,1106,593
1,5,,"nfl, superbowl, 49ers",,31900,193,1008,66
1,6,,"nfl, baltimoreravens, nflhonors",,354100,4554,13400,2893
1,7,,"sbopeningnight, nfl, superbowl, chiefs",,71400,407,4231,2003
1,8,,"nfl, superbowl, sblviii, chiefs, traviskelce",,12900,238,578,73
1,9,,"nfl, superbowl, 49ers, brockpurdy",,94500,1071,3866,255
1,10,,"nfl, nflhonors, joeflacco, clevelandbrowns",,84700,951,2139,412
1,11,,"nfl, chiefs, kadariustoney, superbowl",,52100,1050,1906,1057
1,12,,"nfl, brockpurdy, taylorswift, 49ers, chiefs, superbowl",,342800,2796,19100,7007
1,13,,"brockpurdy, 49ers, superbowl",,17400,147,773,153
1,14,,"nfl, nflhonors, halloffame",,68400,1234,3301,596
1,15,,"nfl, superbowl, 49ers",,138100,1275,4577,2406
