batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Julia,,,2500000,21500,260700,132100
1,1,nhạc nền - Kiara,"salishmatter, hudsonmatter, saysaymatte, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymattter",,301600,1172,24500,617
1,2,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,,33400,20000,3744,10000
1,3,original sound - DinZul,"foryoupage, confidence, wrizz, rizz, xybca, rizzler, public, fyp, anime",,39400,491,5074,471
1,4,That's My Best Friend - Tokyo Vanity,,,30100,181,3549,97
1,5,original sound - Mind Blowing Facts,"randomfacts, learnontiktok, factyoudidntknow, random, fact, curiosities, satisfying, relaxing",,41100,2514,5273,38500
1,6,original sound - CAITLYN JAYE,,,303800,2556,14000,1266
1,7,No madder wart u feeling.. - N,@wizz_app,,153600,6503,10800,1259
1,8,original sound - LB,"itsokaytolook, dangeroustostare, thatswhatsunglassesarefor, haha, jokes, comedyvideo, skirt, cutetop, shescute, smalltowngirl, fyp, v",,53000,629,3325,739
1,9,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","fy, actor, hollywood, deep, crazy, viral",,42000,391,5031,874
2,0,Back In Black - AC/DC,"capcut, positivity, goodmorning, fyp, fyp, fyp, fypage, insperationalquotes, motivationalquotes, dailyquotes, quotes, motivetional_video, motivationalvideo, motivational, insperational, insperational, viraltiktok, viraltiktokvideo, unitedkingdom, uk",,68300,709,14800,64800
2,1,original sound - kit,"fyp, makeup, trans, transandproud",,270600,1938,16900,1666
2,2,Love Grows (Where My Rosemary Goes) - Edison Lighthouse,"bestfriend, bibble, barbie, barbiemovie, barbiemovies, edit, icon, barbiefarytopia, lol, dc, fyp, foryou, character, funnyanimals, %E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F",,1300000,8849,184000,228900
2,3,original sound - Squatch Me Now,"bigfoot, sasquach, monster, foryoupageofficiall, fyp%E3%82%B7, pet, animal, bigdog, love, foryoupage, squad, 1, grateful, puppy, southafricanboerboel, bigfootboerboels, fyp, k9unit, security, dogs, boerboel, mastiff, k9",,385000,22000,26400,39900
2,4,原聲 - muyunbrothers,"muyunbrothers, chinesesong, countrymusic, yi, @muyunbrothers2",,183600,3696,13900,10700
2,5,sonido original - BELY Y BETO OFICIAL,"belyybeto, belyybetooficial",,7596,141,744,141
2,6,The Little Mermaid (Marimba Remix) - Harry Goes Boom!,"stephenhawking, jeffreyepstein, epstine, epstineisland",,131300,955,12500,74600
2,7,gimme more slayyyter remix - DJ,,,31300,239,2301,78
2,8,Melting - Kali Uchis,"coquette, coquetteaesthetic, mo%C3%B1oscoquette, tutorialmo%C3%B1os, girly, beauty",,2600000,4710,1300000,134500
2,9,original sound - ✨DLA Fam✨,"family, 6foot10, 5foot2",,2800000,29100,154300,16700
2,10,this love taylors version - bella🪩⸆⸉,"fyp, viral, easteregg, taylorswift, swiftie, swiftok",,148500,2566,12500,4282
2,11,original sound - 🎧,,,23800,1730,2501,139
2,12,original sound - Dua Lipa,,,6900000,20300,194300,17700
2,13,nhạc nền - 🎈就一眼✨ - HQ COS,"felix, straykids, stay",,3700000,89100,356700,79000
2,14,original sound - 𝘫𝘰𝘴𝘩𝘧𝘺𝘱,"joshhutcherson, josh, trend, trending, edits, edit, joshhutchersonedit, whistle, fyp, viral, boost, likes, ae, editor",,608000,8647,107400,25600
2,15,Que Dios Te Bendiga (Cancion De Cumpleaños) - Peter Manjarrés & Sergio Luis Rodriguez,,,43100,453,5365,107100
2,16,original sound - Prof D,,,69800,295,27800,21200
2,17,Jupiter & Mars - ARDN,"peso, perderepeso, perderepesomangiando",,411900,1307,244500,98000
2,18,오리지널 사운드 - 유백합,,,47100,173,3949,577
2,19,Lovin On Me - Jack Harlow,,,515400,1186,20400,769
2,20,Creepy and simple horror background music(1070744) - howlingindicator,"ghost, horror, scary, horrortok, scaryvideos, scarytiktoks, run",,9774,206,1115,2920
2,21,original sound - grandma_droniak,,,1800000,30700,142300,81100
2,22,sonido original - ORTIZZ STHELLA❤️🌹❤️,"frases, bonitas, parati, dios, fyp, buenosdias, felizdia",,34000,229,2126,133600
2,23,original sound - Visit Dubai,"snowindubai, snowdubai, dubai2024, winterwonderland, burjkalifa, dubailife, winter",,198000,1467,20600,42500
2,24,original sound - Ian Asher,,,338900,1724,28500,1642
2,25,La Suma - Javier Rosas Y Su Artillería Pesada & Lupe Borbon y su Blindaje 7,viral,,158000,1088,5983,913
2,26,original sound - PinkNews 🏳️‍🌈🏳️‍⚧️,"jacobelordi, saltburn, barrykeoghan, celebnews, pinknews",,48600,249,4729,2231
2,27,sonido original - Jhon Frases ⸙,"parati, elchavodelocho, lavecindaddelchavodel8, carlosvillagran, nooooo, luchaquetupuedes, kikovillagran, tristenoticia, elcancer, animemos, dandofuerza, graciasporelapoyo, graciasseguidores, paratodoelmundo, kikopangilinan, fyp%E3%82%B7%E3%82%9Aviral, fypage",,9998,364,633,262
2,28,original sound - Swifties Taylors fans,"@taylorswift, vmas, taylorswift, arianagrande, jlo, showmustgoon",,150100,519,6144,331
2,29,"Big Fun - Evan Todd, Jessica Keenan Wynn, Alice Lee, Barrett Wilbert Weed & Jon Eidson","shutup, trend, nastya, likenastya, @rebeccazamolo",,662000,14300,75700,4290
1,0,الصوت الأصلي - ميلاف,@elna3ma,,166400,1153,22200,1862
1,1,orijinal ses - caner,,,160400,289,7160,220
1,2,original sound - Ilyan | اليان,,,367400,2930,24700,2134
1,3,الصوت الأصلي - 🃏𝙹𝚎𝚜𝚝𝚎𝚛 𝚃𝚛𝚊𝚍𝚎𝚜🃏,,,773200,6660,48500,6257
1,4,original sound - Lei (Lee) 🔥,@spike_makes_dragons,,238,41,32,13
1,5,original sound - الضوي☝🏽,@_layan_lolo_767,,29900,121,3946,621
1,6,Dream Away - Ramol,"%D8%AF%D9%88%D9%84%D8%A7%D8%B1%D8%A7%D8%AA_%D8%AF%D9%88%D9%84%D8%A7%D8%B1%D8%A7%D8%AA, %D8%A7%D9%88%D9%86%D9%84%D8%A7%D9%8A%D9%86_%D8%A8%D8%B2%D9%86%D8%B3, %D9%85%D8%B5%D8%B1%F0%9F%87%AA%F0%9F%87%AC",,160900,1011,144200,35200
1,7,الصوت الأصلي - اسرار الجهني,"%D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1%D8%B1, %D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9, %D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9, fyp, fyp%E3%82%B7, %D8%A7%D9%84%D8%B4%D8%B9%D8%A8_%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A_%D9%85%D8%A7%D9%84%D9%87_%D8%AD%D9%84%F0%9F%98%82%F0%9F%98%82, %D8%AA%D8%B1%D9%86%D8%AF, %D9%82%D8%B9%D9%8A%D8%AF, %D8%B3%D8%A7%D8%B1%D9%87_%D9%85%D9%87%D9%86%D8%AF_%F0%9F%98%A9%F0%9F%A6%BE",,27400,685,3986,440
1,8,الصوت الأصلي - ﮼حـسين,"%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1%F0%9F%99%82, %D9%86%D8%A7%D8%B1%D9%88, %D9%86%D8%A7%D8%B1%D9%88_%D8%AA%D9%8A%D9%85%D8%A7%D8%B1",,91800,611,8213,553
1,9,original sound - ميتو الشامسي,,,304900,2933,19400,15500
1,10,오리지널 사운드 - Saheleh,,,2627,8,190,7
1,11,I Wouldnt Mind - ♱,"@joscelyn1561, sisters, castlehouse, dance",,356000,1605,19800,316
2,0,original sound - FOE🤘🏽,"hethey, topsurgeryfund, topsurgery, transmasc, transmascnonbinary",,311400,1565,20400,3056
2,1,original sound - Jenny Love,,,244700,856,13100,9330
2,2,original sound - TheSevenzFamily,"jamaicatiktok, family, jamaica",,70300,435,7271,448
2,3,original sound - KaijaThePagan ✨,"instagram, genz, genzhumor",,107500,339,1985,85
2,4,son original - CrashMandjaro,"beamng, beamngdrive, fyp",,169700,1033,9528,366
2,5,original sound - Sk8rLeo 🛹,"fullcab, skating",,1021,35,46,2
2,6,original sound - Michael Aldag,"fyp%E3%82%B7, foryoupage, foryou",,1800000,13400,87600,21300
5,0,original sound - Alvardo,"fyp%E3%82%B7, foryou, movieclips, funny",,182100,327,18000,466
5,1,suono originale - Paolo Jackson,,,304800,1146,34700,3784
5,2,original sound - JadeBlairxox2.0,@champsplatts,,6484,215,435,148
5,3,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",,95600,1099,9697,648
5,4,original sound - byisabelsanchez,"latinamotherinlaw, couples, viraldress",,9600000,24300,430400,89100
5,5,original sound - Afraa,fyp,,4800000,71300,300300,186500
5,6,original sound - Lara Rose,"fyp, skit",,235100,1475,35400,1464
5,7,original sound - CAPNOS,"foryourpage, quitnic, quitnicotine, quitnictok",,575700,1472,71700,8266
5,8,original sound - ℒ𝒾𝓁𝓎⸆⸉,"@plmakeupacademy, @glowrecipe, @bubble, @lorealparis, @makeupbymarioo, @tarte.beauty, @bossupcosmetics, plouise, plouisemikayla, makeup, grwm_aesthetics, grwmroutine, grwmroutine, grwmmakeup",,49600,2755,4376,750
1,0,sonido original - vibes 2020,,,119600,224,6376,122
1,1,الصوت الأصلي - Dima Aslan,"dimaaslan, dadostyle, %D8%AF%D9%8A%D9%85%D8%A7%D8%A7%D8%B5%D9%84%D8%A7%D9%86, %D8%AF%D9%8A%D9%85%D8%A7_%D8%A3%D8%B5%D9%84%D8%A7%D9%86",,500200,5223,90700,16100
1,2,10 minutes! Fashionable and bright jazz piano(1127989) - nyansuke,"fyp, foryou, foryoupage, grwm, makeup, getreadywithme",,151100,1613,11800,772
1,3,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",,212300,282,4616,234
1,4,Peacock_SNL_FootballCommentary - Peacock,", snl, dakotajohnson, sketch",,20800,294,165,652
1,5,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",,200000,2437,20200,8212
1,6,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",,230400,14600,9601,3793
1,7,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",,507500,7550,71800,5244
1,8,From The Start Laufey - chris(ur fav Lauver),"@msmerli, foodporn, food, foodlovers, foodlover, foodieph, foodie, delicious, fyp, tiktokfood, foodtok, recipe, cooking, foodlover, delicious, yummy, abimarquez, desser, tanghulu, fruit, snack",,1600000,9476,361500,63700
1,9,original sound - Caitlin Emiko,"iwastodayyearsold, airpodhack, airpods",,745700,2967,141000,38400
1,10,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",,124400,912,5999,868
1,11,original sound - Jessica Weslie Arena,"greenscreen, taylorswift, traviskelce, taylorswifttraviskelce, patrickmahomes, brittanymahomes, fyp",,9731,663,391,611
1,12,original sound - Posterised,"jayz, rap, hiphop, raptok, rapper, @lolnetwork",,470900,2075,19800,3417
1,13,MGK freestyle whos in my top ten machine gun kelly - mgkmagic,"machinegunkelly, mgk, colsonbaker",,30100,386,3245,1216
