batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,lowe.dat - suritasarapist69,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",,445000,2647,35800,1472
1,1,,"serverlife, serverproblems, servertiktok, servers",,146300,0,22000,847
1,2,,"@lauren.clark.21, @usaflagfb, flagfootball, worlds",,991000,14900,37600,3482
1,3,,"car, auto, cartiktok, cars",,391500,4454,70500,54800
1,4,,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",,2400000,33700,241100,82400
1,5,,"easyrecipe, crockpotmeals, familyrecipe, homecooking",,704900,12500,290400,172200
1,6,,igmirandahhmarie,,410000,1815,44700,7160
1,7,,"relax, asmr, sipsak55, %C5%9Fip%C5%9Fak55, relaxing, relaxtime",,519700,2497,39900,1643
1,8,,"fyp, trending, dogsoftiktok, foryoupage",,3700000,21900,279500,66300
2,0,,"mi, primer, chamba, miprimerachamba, videoviral, videography",,1200000,2841,57900,32700
2,1,,"frenchcar, france, kitty, cat, catmeme, elgato, heisfrench, frenchcat, catmeme, meme, gato, wiwigato, silly, car, silly",,7900000,55900,833000,285600
2,2,,,,457600,3011,59100,2085
2,3,,"samsungs9, galaxys9, s9, cheapmobiledubai, malikmubashar333",,76800,1051,3661,1814
2,4,,,,3800000,34300,572600,61400
2,5,,candycanes,,5100000,32600,278200,89400
2,6,,"alexo, usher, chrisbrown, rickross, newflame",,2300000,10700,155700,17900
2,7,,,,450200,5722,26000,7020
2,8,,"animation, animationmeme, youngsheldon, georgecooper, sheldon, sheldoncooper",,196200,4946,25300,2962
2,9,,"dragonball, animation, satisfying",,751100,5171,94000,41200
2,10,,"%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0, ae, aftereffects, edit, %D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0%D0%BA%D1%80%D0%BE%D0%B2%D1%8C%D0%BD%D0%B0%D0%B0%D1%81%D1%84%D0%B0%D0%BB%D1%8C%D1%82%D0%B5, %D0%BC%D0%B0%D1%80%D0%B0%D1%82, %D1%80%D1%83%D0%B7%D0%B8%D0%BB%D1%8C%D0%BC%D0%B8%D0%BD%D0%B5%D0%BA%D0%B0%D0%B5%D0%B2",,207400,892,32500,4816
2,11,,"tacospaghetti, easymeals, dinner, weeknightmeals, recipesforyou",,565000,5170,187900,88500
2,12,,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",,755900,9320,81500,80500
2,13,,"dogsoftiktok, fyp",,7900000,17900,343500,75700
2,14,,"%D9%85%D8%AD%D9%85%D8%AF%D9%86%D8%A8%D9%8A%D9%84, %D9%85%D8%AD%D9%85%D8%AF_%D9%86%D8%A8%D9%8A%D9%84, %D9%85%D8%AD%D9%85%D8%AF_%D9%86%D8%A8%D9%8A%D9%84_%D8%A7%D9%84%D8%A7%D8%B1%D8%AF%D9%86%D9%8A, %D9%85%D8%AD%D9%85%D8%AF_%D9%86%D8%A8%D9%8A%D9%84",,69800,960,7125,3941
2,15,,"giftideas, magicfolderr, magicwallet, tiktokmademebuyit, diy",,427300,1792,31800,1109
2,16,,"facecard, asmrbarbie, asmr, asmrglue",,2700000,6159,136400,14300
2,17,,"@avantmining, @bryan.major",,124400,1165,5820,1939
2,18,,"fortnite, fortniteclips, fortnitememes, fyp",,4900000,30500,537900,74600
2,19,,"fyp, teachersoftiktok, nappingclass",,311000,0,23500,1960
2,20,,"funnycats, funnyanimals, funnypets",,742300,12600,86900,94300
2,21,,"fyp, fortnite, fortniteclips, clutch, duo, squad",,1500000,17600,180800,35100
