batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,my gf is chae - Habadduuyyy,"seungmin, kimseungmin, straykids, skz, stay, lovestay, kpop, edit, %EB%8F%85group, capcut",hoodiseason,517200,3524,132500,9065
1,1,,benetnicole,,289000,582,25100,1459
1,2,,"driftking, drift, gaming, drivingtest, fyp",,94600,468,13500,7401
1,3,,"serverlife, serverproblems, servertiktok, servers",,146600,0,22000,850
1,4,,"food, cooking, foodie, fouryou",,1800000,11900,245400,216900
1,5,,"fyp, viral, itsoucyeli",,83300,208,14600,192
1,6,,,,334500,7151,30100,2811
1,7,,"coffee, lateforwork, elmodriving, cops, elmo, drivingtowork, work, traffic",,4300000,25500,459000,437800
1,8,,"iloveyoubro, friendshipgoals, bromance, sneakersaddict",,549500,2808,15400,5542
2,0,,,,11800,186,1028,178
2,1,,"trickshot, trickshots",,4000000,2851,147200,6235
2,2,,@realityrat,,1100000,3181,111800,7304
2,3,,,,759700,9539,213800,259899
2,4,,,,30300,1337,1120,120
2,5,,"dogsoftiktok, fyp",,7900000,18900,344400,75800
2,6,,"bowhunting, bigbuck, archery",,537000,6522,64500,38100
2,7,,"fyp, xybca, cfn, mamamoo",,2700000,9008,257500,30200
2,8,,"burrito, giantburrito, burritomukbang, sandiegomexicanfood, bigbites, mukbang, mexicanfood, mukbangeatingshow, asmrsounds, foodsounds, foodvideos, eatingvideo, foodie, foodtiktok, eatingsounds, eatwithme, chewingsound",,588000,3734,31400,10700
2,9,,"massage, massagetutorial, massageathome, calfmassage, legmassage, calfworkout, legcare, spamassage, healthy, massageusa, fyp",,1300000,2572,504100,185500
2,10,,"storm, ocean, biggest, scary, explore, storms",,4500000,56400,243600,107200
2,11,,"stickyhands, slappyhands, coin, partygames, moneybags, lasvegasfamily",gettishow,171600,2101,16200,737
2,12,,"keyboardasmr, keyboard, customizedkeyboard, cutekeyboard, keyboardart, lofree",,598700,22300,90700,28500
2,13,,,,21800,64,1992,523
2,14,,"fyp, viral, trending, twins",,655800,1275,103700,6487
2,15,,,,2600000,8819,295900,25700
2,16,,,,609100,5727,30100,12400
2,17,,"genderreveal, boyorgirl, guess, surprise, mom, dad, icebath, icequeen, coldplunge, fun, family, hubby, parents",itskyajeub,1500000,13700,49200,26300
2,18,,,,655600,31800,62500,270600
2,19,,"ironman, rdj",,245500,1992,13300,2192
2,20,,"car, auto, cartiktok, cars",,391700,4462,70600,54800
2,21,,"football, fyp, capcut, nfl",,51600,442,12100,1149
2,22,,"collect, warrior",,209600,1843,22900,4181
2,23,,"space, universe, astronomy, wormhole",,530300,5530,63100,2702
2,24,,"challenge, matching, matchthecolor, waterbottle, colors, coupleschallenge, games, marriage, husbandwife",,196400,577,7853,1279
2,25,,"catsoftiktok, fyp, foryou, siberiancat, viral, cat, zoomies, growl",,2900000,21800,253800,125700
2,26,,"fyp, foryoupage, wafflekozik, nyc",,2300000,9278,129100,9398
2,27,,"minecraft, minecraftmusic",,38600,297,4854,130
3,0,Big Ole Facts - Jose Guapo,benetnicole,_b.enet,377600,1293,36400,1216
3,1,R I P T I D E - ⚡️ Sped up sounds ⚡️,"couple, totwoo, fyp, viral, love, musthaves, giftforcouple",totwoobracelets0,3000000,35100,457300,103700
