batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Ray William Johnson,"nigeria, hushpuppi, dubai, scam, truecrime",realraywilliam,793600,3086,58500,6060
1,1,nhạc nền - Pets lovely 💋💋,"petsoftiktok, viral, xuhuong, fyp, pets, foryou",cuncung.lovely,16800,394,944,1625
1,2,original sound - Nathan Legagnoux,"fyp%E3%82%B7%E3%82%9A, foryoupage, specialforces, soldier, military, militaryedit",nathan.legagnoux,624600,4799,169800,25900
1,3,Originalton - mct1ler,"@baby.alive.fanacc, gwentdi, gwentotaldrama, gwen, drawing, draw, gwendrawing, gwentdidrawing, gwentotaldramadrawing, gen, gentrd",thepopsensation,71,17,11,0
1,4,original sound - Fans Teacher Tonia,"learnenglishonline, english, englishlanguage, englishonline, englishteacher, englishspeaking, esl, speakenglish, teachert",teacher.tonia_,38900,291,7405,980
1,5,son original - Dokteur Mouaz,,dokteur_mouaz,44600,878,4531,4063
1,6,original sound - Lali_Alice,"foryoupage, sad, cute, shocked, reaction, funny, prank, tiktok",lali_alice4,36,1,1,0
1,7,Stop loving me - Vish,"goviral, brisamgee, brirebrand%F0%9F%A6%84%F0%9F%8C%B9, acting",brisamgee,71200,1114,6081,6175
1,8,son original - FYP 🤍🇲🇺,,ted_player1,11600,1910,1230,581
2,0,original sound - Becca Bastos,"cardealership, car, salesman, sales, comedy, relatable, women, viral, fyp, pov, povs, carsalesman, sale",actressbecc,2200000,8652,117400,139400
2,1,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",kadishalynnnn,200000,2437,20200,8212
2,2,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124400,912,5999,868
2,3,sonido original - El Paisaman ✅,"greenscreen, fyp, impuestos, taxes, irs, money, foryou, parati, foryoupage, fyp%E3%82%B7, usa",elpaisaman88,97700,4046,26100,50100
2,4,original sound - Cameron Whitcomb,", singing, music, heaven, original, lovedones, dancinginthesky, originalmusic, originalmusic, fyp%E3%82%B7, singersongwriter",thecamwhitcomb,1200000,20900,224200,56800
2,5,Tuyo (Narcos Theme) - Rodrigo Amarante,"griseldablanco, griselda, narcoseries, sofiavergara, seriesnetflix, netflix, nerflixfrance",tubarco,11000,76,664,508
2,6,original sound - ✨ True Crime With Bella ✨,"greenscreen, homeless, arrested, bill, law, california, oregon, wyoming, foryou",teaandtruecrimewithbella,99600,8162,13700,7547
2,7,original sound - haley 🎀,"joshallen, buffalobills, fyp, foru, bills, joshallenedit, nfl",haleyy.vfx,416400,2479,51100,2821
2,8,sonido original - Xóchitl Gálvez,"@santa.feklan473, santafe, santafeklan",xochitlgalvezr,95200,3849,4887,2686
2,9,original sound - Sundeep and Anand,"jobinterview, leader, interviewtips, leadership, chicken",sundeepandanand,105200,2726,8976,14600
2,10,original sound - Entrapranure,"mindblown, autism, autismacceptance, motivationalquotes, roycedupont, alphamale, lecture, businessmajor, entrepreneur",entrapranure,395500,2398,36300,37500
2,11,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,230400,14600,9601,3793
2,12,original sound - Innerspark,"24, barbaraoneill, naturalremedies",lnnerspark,3017,31,954,587
2,13,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",grace.mitscherlich,507500,7551,71800,5244
2,14,original sound - Probably Off Reading 🥰,"stuffyourkindleday, stuffyourkindle, kindle, spookyourkindleday, spookyourkindle, kindleunlimited, stuffyourkindleday2023, stuffyourkindlelist, stuffyourkindlerecs, booktokpsa, booktok, fyp, stuffyourkindletutorial, kindle, kindlebooks, amazonbooks, bookworm, foryoupage, booktok, romancebooks, fantasybooks, stuffyourearbuds, fyp, booktoker, stuffyourkindlelist, stuffyourkindlerecs, witchystuffyourkindle, witchystuffyourkindleday, cozymysterystuffyourereaderday, cozymysterybooktok, cozymysterystuffyourkindleday, whatisstuffyourkindleday",probablyoffreading,27500,129,11800,5510
2,15,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,212300,282,4616,234
2,16,Disney-style fanfare-style BGM - harryfaoki,"disneyworld, disneynews, drinkingage, disneydrinks, disneypark",mousetrapnews,128000,1828,10800,7588
2,17,som original - Royal News Channel,,royalnewschannel,67500,2093,5374,1399
2,18,From The Start Laufey - chris(ur fav Lauver),"@msmerli, foodporn, food, foodlovers, foodlover, foodieph, foodie, delicious, fyp, tiktokfood, foodtok, recipe, cooking, foodlover, delicious, yummy, abimarquez, desser, tanghulu, fruit, snack",abigailfmarquez,1600000,9476,361500,63700
2,19,original sound - Lynja,,cookingwithlynja,123000,500,10400,981
2,20,original sound - MeidasTouch,"taylorswift, swifties, joebiden, trump",meidastouch,13500,5344,617,1398
2,21,original sound - Jessica Weslie Arena,"greenscreen, taylorswift, traviskelce, taylorswifttraviskelce, patrickmahomes, brittanymahomes, fyp",jessweslie,9731,663,391,611
2,22,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,742100,8787,40600,51600
2,23,original sound - Dave Ramsey,"sportscar, carsoftiktok, moneyadvice, wealthymindset",daveramsey,464300,2763,24300,2065
2,24,original sound - vy 🍓,"alaska, alaskaair",strawberr.vy,3400000,56100,195700,277400
2,25,"Creepy piano, ghost story horror ambient：L(1025873) - cowaii - Fear music encyclopedia","greenscreenvideo, 2024, blizzard, chicagoblizzard, fyp, chicagoweather, chicago, freezing",metacowboy,156600,4596,14500,12700
2,26,"original sound - Dr. Brian Hoeflinger, MD","doctor, fyp, lifestyle",doctorhoeflinger,1200000,5755,50900,13000
2,27,"Suspense, quiet urgency, suspicion, investigation：L(1029430) - cowaii - Fear music encyclopedia","superbowl, 49ers, baltimoreravens, conspiracytiktok, leaks",grace.mitscherlich,67900,1849,6178,3979
2,28,MGK freestyle whos in my top ten machine gun kelly - mgkmagic,"machinegunkelly, mgk, colsonbaker",mgkmagic,30100,386,3245,1216
2,29,y que tal si te escapas del cielo Tristan R Cover - TristanRMusica🧔🏻‍♂️🪙🍀🎵,"yquetalsiteescapazdelcielo, siteescapasdelcielo, escapatedelcielo, cielo, desamor, triste, cover, viral",tristanrmusica,1100000,10400,203300,83800
1,0,original sound - VicBlends,vicblends,vicblends,1500000,5159,65700,3149
1,1,original sound - Angelo,"comedytrends, comedytrending, siblingduo, siblingduos, viralchallenges",_angelomarasigan,310600,1727,22800,1374
1,2,original sound - Y O U R S🖤🫀,"javidkhan0301, fyp%E3%82%B7%E3%82%9Aviral, viral_video, viral, viralvideo, fyp, @javidzada40, @ashfaq.777official, @pktiktokofficial",javidkhan0301,352100,3571,20800,5081
1,3,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",grace.mitscherlich,507500,7551,71800,5244
1,4,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",kadishalynnnn,200000,2437,20200,8212
1,5,"Suspense, quiet urgency, suspicion, investigation：L(1029430) - cowaii - Fear music encyclopedia","superbowl, 49ers, baltimoreravens, conspiracytiktok, leaks",grace.mitscherlich,67900,1849,6178,3979
1,6,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,230400,14600,9601,3793
1,7,original sound - Caitlin Emiko,"iwastodayyearsold, airpodhack, airpods",caitlin.emiko,745700,2967,141000,38400
1,8,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124400,912,5999,868
1,9,Salsa Party 1 - Intermede Music,"vegas, lasvevas",immarcomurillo,742100,8787,40600,51600
1,10,"Creepy piano, ghost story horror ambient：L(1025873) - cowaii - Fear music encyclopedia","greenscreenvideo, 2024, blizzard, chicagoblizzard, fyp, chicagoweather, chicago, freezing",metacowboy,156600,4596,14500,12700
1,11,"original sound - Dr. Brian Hoeflinger, MD","doctor, fyp, lifestyle",doctorhoeflinger,1200000,5755,50900,13000
1,12,original sound - Sundeep and Anand,"jobinterview, leader, interviewtips, leadership, chicken",sundeepandanand,105200,2726,8976,14600
1,13,XDDCC - Gooseworx & Evan Alderete,"bluey, blueytok, blueyheeler, blueyfanart, blueyclips, blueyanimation, animation, shorts, cute, procreate, cartoon, artistsoftiktok, art, shortclips, original, procreateanimation, procreatedreams, blueychilli, blueymom, blueymoments",artsdoodle,1800000,6270,268700,28500
1,14,original sound - Date Right Stuff,fyp,daterightstuff,522700,16200,23400,11600
1,15,Eu Já Sofri por Amor Mas Não Sofro Mais - 2T Da Serra,"chespirito, chaves, fy, futbol",falameutruta,374500,2595,43500,6323
1,16,original sound - vy 🍓,"alaska, alaskaair",strawberr.vy,3400000,56100,195700,277400
1,17,original sound - haley 🎀,"joshallen, buffalobills, fyp, foru, bills, joshallenedit, nfl",haleyy.vfx,416400,2479,51100,2821
1,18,sonido original - Ruben Tuesta,,rubentuestaok,691800,6938,45500,23000
1,19,sonido original - yoamotijuana,@rousstj,yoamotijuana,136300,1514,24000,31500
1,20,original sound - Gossip Girl,"fyp, gossipgirlhere, gossipgirl, chuckbass, edwestwick",tvdgossipgurl,618500,4264,29700,42900
1,21,original sound - TizzyEnt,,tizzyent,192000,11200,6389,15800
1,22,sonido original - GODRXM,"lighting, rayo, mcqueen, xyzbca, fyp, cars, elrey, chick, mcqueen",godrxm_abreu,2400000,13600,314100,19900
1,23,original sound - Becca Bastos,"cardealership, car, salesman, sales, comedy, relatable, women, viral, fyp, pov, povs, carsalesman, sale",actressbecc,2200000,8652,117400,139400
