batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - 𝙹𝚒𝚕𝚕𝚒𝚊𝚗 ✰,"@blissztp, dance, zepetodance, zepetotiktok, zepetoapp, fyp, zepeto, makethisviral, zepetotiktok2023%F0%9F%92%96%F0%9F%92%97, just_ace80, viral, xyzabc",jillian.zpt,60100,640,13800,730
1,1,,,dobretwins,351000,1908,25900,636
1,2,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",,3800000,8738,204500,144000
1,3,,"fyp, fypage, fypviral%E3%82%B7, capcut, meme, memecut, elmodriving, gaming, mariokart, mariokart8deluxe, nintendoswitch, gamingclips, trending, funny, viral, viralvideo",,95100,421,8366,8198
1,4,,@bellapayton12,,282300,794,14900,6250
1,5,,,,1000000,2658,108600,18600
1,6,,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",,901700,1706,74300,3359
1,7,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,402500,725,26000,367
1,8,,,,68600,372,4582,417
2,0,,"dogsoftiktok, fyp",,7900000,19100,345000,75800
2,1,,"capcut, tiktoktrending, hockeyplayer, viralhockey, hockeytrending, nhlgameday, flapanthers, gamedayready, montour, brandonmontour, nhl, nhltiktoks, nhlvideos, trendingnhl, @flapanthers, @nhl",,2500000,3059,199000,3582
2,2,,"lettering, chicanoletters, oldenglish, chicano, arte, chicanoarte, arte, art, letras, fyp, fyp%E3%82%B7, letters, pencilart",,243600,1109,48800,279
2,3,,,,868400,1821,34400,1220
2,4,,rihanna,,504000,1368,19300,1444
2,5,,,,203400,1259,14200,774
2,6,,,dobretwins,261700,4309,31400,4425
2,7,,,,312500,792,9875,1616
2,8,,"camping, bushcraft, outdoors, survival, asmr, adventure, building, shelter",,94000,284,12000,985
2,9,,"lifehacks, didyouknow, todayyearsold, fyp",,66800,506,5219,501
2,10,,"cat, catmemes, catmeme, cats, funnycats, relationship, capcut, relationshipmeme, couple, ilovemybf",,258300,988,29900,11400
2,11,,@louieveemoonteenmoonfam,,297300,1571,20300,722
2,12,,,,335300,7148,30200,2822
2,13,,"fyp, viral, trending, twins",,664300,1300,105200,6535
2,14,,"fyp, fypages",,256700,2499,35100,3220
2,15,,"fortnite, fortnitebr, fortnitebattleroyale, fortnitecreative, fortnitefestival, legofortnite, fortniteracing, fortnitememes, fortnitevideos, fortnitetips, fortnitetiktok, fortniteclan, fyp, foryou, foryoupage, fypplease, foru, foryoupageofficiall, fyponly, foryouonly, foryoupageonly, viral, fyp%E3%82%B7, funny, fypviral, viralvideo, viraltiktok, viralvideoonly",,1600000,8874,239200,12600
2,16,,"fortnite, fortniteclips, fortnitememes",,493200,5417,36500,3471
2,17,,"jesus, prayer, bible, christianity, dios, pray, bibliae",,88100,20000,27400,4218
2,18,,,,624700,1174,39800,2686
2,19,,,,415400,912,42900,571
2,20,,"fyp%E3%82%B7, makemefamous, blowthisup, viral, emanrizz, rizz",,518600,1530,39700,1628
2,21,,,,627100,5588,81400,12800
2,22,,"edit, basketball, stephcurry, popularvideo, famous, fyp",,391600,1161,51400,4727
2,23,,"meme, fyp, mascot, dancing, dream, real, relateable, school, job, foryou",,2600000,27900,301600,79200
2,24,,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",,694600,15100,71900,129000
2,25,,"cold, freezing, meme, fyp%E3%82%B7%E3%82%9Aviral, funny, relatable, fastfood",,120000,545,7869,2125
3,0,original sound - SunshineJazzy ASMR,"@555.safjola.555, @johnniibeanasmr, asmrlivenow, dentistasmr, realisticasmr, asmrhumor, asmrsounds, asmrroleplays",sunshinejazzy17,172100,1517,23400,661
3,1,son original - Acoustic Music Song,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",lauren.canty,115100,6132,6087,1712
3,2,original sound - Food Dudes,"easyrecipe, crockpotmeals, familyrecipe, homecooking",fooddudescook,708900,12600,291900,173500
3,3,IMMMMM UPPPPP - Antwitdatfatty 🍑,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",leci.bby,265300,1061,41600,3753
3,4,Oi - My Soul Gone,"tmnt, ninjaturtles, fyp, raphael, viral, trending",radicalraphael,1200000,9275,124800,17400
3,5,Raise your glass - Speed up songs ♡,"fyp, braces, trending",autumnnmonique,272100,3026,21300,658
3,6,original sound - michelleee 🪩,"mattsturniolo, mattsturnioloedit",marisnoirrs,278000,1492,84600,1940
3,7,original sound - jennifer ✭,"fyp, youladiesalright%3F, improv, basketball, dub",kealeyyyyyy,688200,1462,55900,1217
3,8,original sound - AMBER,"jakewebber, johnnieguilbert, fyp, jakeandjohnnie, foryoupage, foryou",itscatherineamber,376600,803,31200,735
3,9,FANCY (SLOWED + REVERB) - Godlike Pariah,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",inthehandsoflando,309800,541,71400,1322
3,10,Mmhmm - BigXthaPlug,"viral, fyp, foryou, bracelets, colorful, teacher, 5thgrade, fyp%E3%82%B7, blowthisup, drip, trending, xyzabc, xyzbcafyp%E3%82%B7",elijahkobe17,675800,3074,52300,876
3,11,original sound - Jasmin & Julio,"challenge, matching, matchthecolor, waterbottle, colors, coupleschallenge, games, marriage, husbandwife",jasminandjulio,218300,602,8637,1384
3,12,original sound - Nathan Doan,"skit, comedy, memes, anime",nathandoancomedy,797100,2364,72100,7659
3,13,original sound - goddess.of.survival?,,annaisspaulino,319300,2731,34400,3877
3,14,Thirty PND. Sped up - Mrs. Harlow ♡,foryoupage,tbhcacagirl,149700,411,7947,144
3,15,original sound - Fanatics,,fanatics,409100,3688,19500,808
3,16,Never Lose Me - Flo Milli,fyp,bozz.arts,3000000,10700,154500,13500
3,17,original sound - 1ChineseChicken,"fyp, fortnite, fortnitesniper, gaming, viral",1chinesechicken,1200000,16200,153100,18800
3,18,original sound - Dachshund Channel,"hotdog, hotdiggitydog, dog, dachshund, dachshundsoftiktok, dachshundaddict, wienerdog, wien, sausagedog, puppy, run, fyp, foryou",dachshund.channel.27,2000000,5413,169600,53200
3,19,original sound - Blondemilkman,"fyp, askkj, xyzbca",a.s.k_kj,215700,808,20100,611
3,20,original sound - MILITANT MINDS,"capcut, iheardyoutoldyourfriend, iheardyoutoldyourfriends, trendingsong, trendingtiktok",arabella_lemonstrang13,38800,427,9145,1017
3,21,original sound - wockag,"fyp%E3%82%B7, xybca, relatable, fyp",wockag,524900,1967,65099,8847
3,22,orijinal ses - caner,,princessameliawu,693400,10900,62200,1010
3,23,original sound - 𝐤𝐫𝐢𝐬 🧸ྀིྀི !!,"georgiecooper, mandymcallister, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",krissaily,139100,637,13900,147
3,24,FUNKED UP by XXANTERIA and ISQ UNRELEASED - ku,,viscorpse,525700,3379,84500,3345
3,25,DJ SUAVE x OnMyShawty. - The Brandon Isaiah,"only1ebonyy, trending, capcut, pretty, eaststroudsburguniversity, pennsylvania, brooklyn, sopretty, newyork, prettygirls, soprettychallenge, madpretty, naturalhair, naturalhairstyle, naturalhairstyles, naturalhairstylesforblackwomen, naturalhairstylestutorials, naturalhairstylesideas, naturalhairstylesforwomen, curlyhair, curlyhairtutorial, curlyhairroutine, curlyhairstyles, curlyhaircheck, hairinfluencer, naturalhairinfluencer, wiginfluencer, edges, edgestutorial",only1ebonyy,183900,866,22900,451
3,26,som original - 🥀 floowerry🥀,"capcut, love, crush, relatable, fyp, viral",ships_for_everyone_,52200,3442,10800,3092
4,0,original sound - Kervo.dolo,,kervo.dolo,2100000,16700,207600,43900
4,1,original sound - Whoh,"warzone, warzone3, warzoneclips, whoh, callofduty",whohtv,70600,458,10100,76
4,2,yes and - chan,,ashleyb4253,555200,7174,49500,2647
4,3,original sound - jechatona,,fabrublacutt_,195700,425,24500,358
4,4,الصوت الأصلي - revo,"fy, foryou",alayaxharmon,370800,2033,39900,2135
4,5,original sound - Smooth Cut,"@joseleninhernande0, emoji, asmr, satisfyingvideo, foryourpage",smooth.cut,115300,2157,5793,522
4,6,original sound - zb cam,"fyp, fortnite, fortniteclips, clutch, duo, squad",unhinged.v2,1600000,18000,184800,35700
4,7,original sound - fallon,"jjmaybank, jjmaybankedit, outerbanks, outerbanksedit, obx, obxedit, rudypankow, fyp",fallonbtw,1300000,4952,248700,9117
4,8,Lord Of The Rings: The Shire (Concerning Hobbits) - Geek Music,"@user7874966170419, mouse, luxurylife, fyp, tiny, luxuryhomes",bridgetmccartyminis,975400,2362,88000,8635
4,9,original sound - 🌑,"fyp, viral, sturn1oi0, chrissturnioloedit, chrissturniolo, sturniolotriplets, seehergreatness, foryou, foryoupage, fyp%E3%82%B7, foryoupageofficiall, foru, forupage%E3%82%B7, xyzbca, sturniolotripletsedit",sturxs.vsp,311900,839,75200,1161
4,10,original sound - abeardedman,"fyp, foryoupage, motivation, foryou, fyp%E3%82%B7, trending, viral",abeardedmanofficial,621400,3285,45700,11600
4,11,sonido original - Jungkook's gf🌷,"mexicantiktok, fyp",jacqui_olivera04,3500000,26300,249900,75700
4,12,original sound - jokers,"impracticaljokers, impracticaljokersclips, salvulcano, jamesmurray, joegatto, joefromimpracticaljokers, comdey",impracticaljokers39,3100000,2739,258200,21100
4,13,From Tha Back - lil.Eaarl,"fyp%E3%83%84, foryoupage, identicaltwins, dance",zaii623,1200000,2926,176100,7682
4,14,original sound - Speedy sounds,"artistsoftiktok, tutorial, howto, fyp, graffitiart, capcut",inthehandsoflando,276800,508,57100,747
4,15,original sound - Jazlynn.oats,@senior_savage21,jazlynn.oats,587800,2401,56300,10300
4,16,Love You So - The King Khan & BBQ Show,"food, cooking, foodie, fouryou",juydnchr4um,1800000,11900,245700,217200
4,17,Party In The USA VS Loyal by 917Josh - 917Josh,"xyzbca, fyp, fyp%E3%82%B7, trending, trend, cheer, cheerleader, dancetrend, dance, basketball, basketballplayer, vs",meqionnn,1400000,10500,77800,1690
4,18,Mmhmm - BigXthaPlug,"fyp, foryou, bracelets, colorful, teacher, 5thgrade, drip, viral, fyp%E3%82%B7, blowthisup, trending, xyzabc, xyzbcafyp%E3%82%B7, fyppppppppppppppppppppppp",elijahkobe17,221800,1381,12200,414
4,19,original sound - NinjSZN,"fortnite, fortnitefunny, crosshairx, fyp",ninjszn,78200,9936,7812,6854
4,20,Oi - My Soul Gone,"lebbypebbles, fyp, foryou, xyzbca, trending, beatthekotonai",lebbypebbles,993100,4494,136200,13600
4,21,Bro this so old lol - ㅤ,"@bbelllav_, 6foot10, 4foot8, fyp, talltok, heightdifference",dla_fam,319100,4130,17600,4290
4,22,original sound - Go1den,"fortnite, go1den, fortnitefunny, fortniteclips, fyp",code_go1den,84600,541,8367,1544
4,23,queen of disaster with sparkles - ˚ ˚｡° ⋆♡˚🎀 ꒰ ྀི ◞ ˕ ก ꒱ ⭐️,,_hannahjobe,584500,1128,28000,2799
4,24,Meow - Dust☆,,brentrivera,254800,516,14400,1400
4,25,Te Llenaste - El Alfa & Yomel El Meloso & El Fother,"@user1760982938853, fyp%E3%82%B7, cutebaby, babyfever, trending",queen_kye18,44300,1053,2394,420
4,26,original sound - Elroy Red Beard,"fyp%E3%82%B7, foryou, foryoupage, fyp, fy, indiana, waaaygood, everydayfunday, pinkysup, jasonwhatareyoudoing, ayoooo, longervideos",elroyredbeard,1200000,32500,94500,108400
4,27,Diamondz n Roses - VaporGod,dollartree,juliaa.vids,530500,1653,31000,852
5,0,kai bomboclaat - 6’2 with dreads btw,"fyp, foryourpage, relatable, school, foryoupage, viral, real",jnl.production,740600,4514,87400,5241
5,1,original sound - Toyy,"friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,225600,891,25900,1663
5,2,The Box - Roddy Ricch,"@maria.stinkt, howtolacesneakers, shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, viral, jordan4, from, cocokick",coco_kick.io,254000,728,50200,6960
5,3,I Wouldnt Mind - ♱,,mariane.liebhaber,989900,7264,66100,6340
5,4,original sound - layla’s mother,"kpop, bebop, imsohappy, excited, foryou, ilovekpop, pinkbow, cute, 2xspeed, fyp",unclelinkster2,2100000,19900,259600,38500
5,5,Lalala(Remix) - 十八闲客,"volleyball, slowmotion, slowmo, volleyballlove, volleyballlife, volleyballplayer, volleyballgame, volleyballtok, volleytok",roberts_pov,474400,3461,43100,1237
5,6,Rich Minion - Yeat,"fyp, open, closed, bottle, trick, riddle, prank",themakeshiftproject,502300,1650,31400,1432
5,7,الصوت الأصلي - ASMAA,,princessameliawu,248800,8255,29400,691
5,8,original sound - jovynn,"fyp, miami, artbaselmiami, artbasel, miamiproblems, hialeah, 305",imstephm_,1100000,12500,54800,25200
5,9,Love You So - The King Khan & BBQ Show,,beudoan17a11,660000,10400,180200,51900
5,10,"Ocarina Of Time Theme (From ""The Legend Of Zelda"") - Gaming World","fyp%E3%82%B7, viral, trending, dreads, locs",babyfxce.josh,1300000,63400,101400,6751
5,11,kai bomboclaat - 6’2 with dreads btw,"fyp, 4u, relatable, viral, emo, 08, tgcf, obeymeshallwedate, genshinimpact, highschool",gaylordlevi,862400,8206,96000,6513
5,12,original sound - Thebigsol,"viral, fu, moneytok",mezgotrich,186200,1717,24400,3167
