batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6166,136900,14400
1,1,,"@4x4studio, fyp, foryou, foryoupage, bestfriends, trio, besties, funny, dancetrend, trend, dance",,2100000,5618,145300,21200
1,2,,,,627600,5594,81500,12900
1,3,,"fyp, foryou, gaming, saloodz, foryoupage, trending, fortnite, fortnitetips",,195300,1909,18900,433
1,4,,"mom, momhack, hack, moms, baby, babies, motherhood, velcrow, toddler, babymama, momsoftiktok, fyp, momtok",,2400000,23800,171400,199900
1,5,,"fyp, viral, trending, twins",,666600,1303,105600,6551
1,6,,"meme, fyp, mascot, dancing, dream, real, relateable, school, job, foryou",,2600000,27900,301800,79200
1,7,,"fyp, dog",,669000,3966,75400,15800
1,8,,"joshhutcherson, fivenightsatfreddy",harry.daniels,12900000,139100,1300000,255100
1,9,,,,1000000,2659,108800,18600
1,10,,"cold, freezing, meme, fyp%E3%82%B7%E3%82%9Aviral, funny, relatable, fastfood",,120000,545,7872,2129
2,0,,"fy, foryou",,371900,2035,40000,2137
2,1,,fyp%E3%82%B7,,737300,2415,25700,6118
2,2,,"kaicenat, fyp",,761200,2458,63900,2319
2,3,,"tmnt, ninjaturtles, fyp, raphael, viral, trending",,1200000,9335,125600,17400
2,4,,"%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9%D0%B3%D0%BE%D0%B4, %D0%BA%D0%BE%D1%82%D1%8F%D1%80%D0%B0, %D0%B6%D0%B8%D0%B7%D0%B5%D0%BD%D0%BD%D0%BE, 2024, %D0%BA%D0%BE%D1%82, %D1%81%D0%BD%D0%B0%D1%81%D1%82%D1%83%D0%BF%D0%B0%D1%8E%D1%89%D0%B8%D0%BC",,259399,1296,24200,17400
2,5,,"caraccessories, carplay, foryou",,205500,998,50400,11000
2,6,,"fyp, fortnite, fortniteclips, clutch, duo, squad",,1600000,18000,185400,35800
2,7,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",,3800000,8767,205100,144400
2,8,,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",,265500,1062,41700,3756
2,9,,"capcutvelocity, rek, capcut_edit, capcut",,291600,1016,82300,2465
2,10,,,,269000,952,20300,3839
2,11,,"chainsfr, animation",,133800,415,16700,342
2,12,,fyp%E3%82%B7,,337800,1030,50300,2058
2,13,,,,1700000,6468,61000,5293
2,14,,"missycooper, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",,711000,4244,147000,2724
2,15,,"inverno, frio, estadosunidos",,192400,2322,5729,1406
2,16,,"jdkryptic, blowthisup, fyp, virelvideo, funny, fyp%E3%82%B7, xyzabc, abcxyz",,584500,7303,63200,4074
2,17,,"fyp, funny",,1100000,4316,81200,15600
2,18,,"capcut, glitter, roses",,709300,3497,100500,12200
2,19,,"keyboardasmr, keyboard, customizedkeyboard, cutekeyboard, keyboardart, lofree",,601400,22400,91000,28500
2,20,,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",,309900,541,71400,1322
2,21,,"pov, relatable, backpack, highschool, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, foryoupage, viral, comedy, funny, funnyvideos, comedyvideo, funnyvideo, onlydmc, imao, trynottolaugh, hilarious",,2700000,14600,340600,26500
2,22,,"viral, fu, moneytok",,189800,1791,24800,3256
2,23,,"fanpage, jaylee, jayleesanders, jayleeandjackson, scoli, scoliosis, scoliosischeck, scoliosisawareness, scoliosissurgery, scoliosisgang, scoliosistips, scoliosisfighter, scoliosisbrace, scoliosiswarrior, scoliosisproblems, scoliosisqueens, spinesurgery, youjustwentviral",,284100,2760,14000,3842
2,24,,"fortnite, fortniteclips, fortnitememes, petergriffin, petergriffinfortnite",,358100,2662,58500,6598
2,25,,"skit, comedy, memes, anime",,797400,2364,72100,7661
2,26,,"cute, rabbit",,864400,8767,56000,108000
3,0,Juju on That Beat (TZ Anthem) [Challenge Version] - Zay Hilfigerrr & Zayion McCall,"fyp, trio, @luhhmatt_, @whatsean",vinbabyy,186600,1317,21100,944
3,1,original sound - jovynn,"fyp, miami, artbaselmiami, artbasel, miamiproblems, hialeah, 305",imstephm_,1100000,12500,54800,25200
3,2,original sound - AMBER,"jakewebber, johnnieguilbert, fyp, jakeandjohnnie, foryoupage, foryou",itscatherineamber,377200,803,31200,735
3,3,original sound - American High Shorts,"americanhighshorts, jailbreak, iphonehack, tech",americanhighshorts,799500,1368,55100,1687
3,4,original sound - scarlett ʚɞ,"glitterroses, hellokitty, viral, share, repost, eternalroses, couquette, hellokitty, pink, glitter, roses, sparky, foreverroses, foryoupage, pinkbouquet%F0%9F%92%90, flowers, hellokittylover, hellokittybouquet, hellokitty%F0%9F%98%BB",quiroz_eternalroses111,5100000,41900,594200,90700
3,5,Party In The USA VS Loyal by 917Josh - 917Josh,"xyzbca, fyp, fyp%E3%82%B7, trending, trend, cheer, cheerleader, dancetrend, dance, basketball, basketballplayer, vs",meqionnn,1400000,10500,77800,1692
3,6,son original - Acoustic Music Song,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",lauren.canty,115200,6172,6088,1714
3,7,original sound - IridescentEthyn,"fortnite, fort, gaming, fun",iridescentethyn21,272100,1367,15100,1330
3,8,original sound - successandsu,,vampzvs,947200,1883,63300,576
3,9,original sound - $,,divinezay,5900000,7970,398100,106300
3,10,original sound - 🐞,"school, funny, viral, theonlyfamousbrian, relatable",onlyfamousbrian03,802800,2065,74200,5075
3,11,original sound - jaimewydd,"foryourpage, roblox, robloxedit, xyzbca, ttd3, fyp, mrworldwide, aftereffects",mrworldwidereturns,411200,6862,75500,7141
3,12,original sound - meredith on tour,"fyp, concert, oliviarodrigo, sourtour, gutstour",meredithontour,1300000,5396,114900,7028
3,13,original sound - ︎,"edit, basketball, stephcurry, popularvideo, famous, fyp",vs_uzi,392000,1164,51500,4732
3,14,yes and - chan,,ashleyb4253,555500,7174,49500,2648
3,15,original sound - Pop Hive by RapTV,rihanna,pophive,512700,1375,19800,1460
3,16,original sound - Cool Grandpa👴🏼,"greenscreen, grandpa, viral, funny, foryou, fyp%E3%82%B7, fypisbroken, jokes, cool, nostalgia, kids",theverycoolgrandpa,626600,9205,91600,7483
3,17,original sound - ★ seplix,,brookemonk_,996500,2351,51800,1317
3,18,original sound - Nutz💫☔️,"fyp%E3%82%B7, funny",tina_042,1500000,3045,119900,15300
3,19,original sound - Tra Rags,,ben.duong,599800,7479,43900,4637
3,20,original sound - gianna,"dogsoftiktok, dog, smartdog",giannamjoyce,560400,1945,37900,16600
3,21,original sound - ★𝐩𝐚𝐢𝐬𝐥𝐞𝐲★,"fyp%E3%82%B7, relatable, fyppppppppppppppppppppppp, realization, foryoupage, blowthisup, foryou, trending, thefloridaproject",morasecreate_page2,618300,12200,61200,5460
3,22,sonido original - Chachi _0102,"@iloverussellwilson, @888tweak, football, nba, kobe, soccer, neymar, fyp, foryou",zostyler,823700,2635,82200,1289
3,23,original sound - Nickweckerly,"capcut, fyp, pa, sunset",nickweckerly12,61700,382,15500,1176
3,24,original sound - American classic cars,,thecustomizedride,116600,1034,11100,9624
3,25,7AM (Slowed + Reverb) - adrian,"trending, gaming, viral, fortnite, fortniteog, foryoupage, mulletmace, fortnitetipsandtricks, fortnitezerobuild",mulletmace,907400,6730,274200,37300
3,26,original sound - Reed Shepherd,,reedshepherdfilms,1100000,576,30600,6181
3,27,original sound - Wood Studio,"woodworking, fyp, woodwork, wood_work, fyp%E3%82%B7, woodwoker, wood_art, woodart, asmr, woodproject, woodasmr, viral",woodstudio43,208700,1872,18700,8759
3,28,original sound - VXReel,"vfx, robotvaccuum, robotvacuumandmopcombo, robotvacuumcleaner",vxreel,221800,3718,18700,23600
4,0,Follow my insta - ‍,"shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7, nike, airforce, viral, trending, sneakers",coco_kick.io,187100,215,57900,7519
