batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - CAITLYN JAYE,,caitlyn.jaye,324800,2773,15300,1394
1,1,Epic Inspiration - DM Production,,graciebonr,177400,5947,80400,19400
1,2,original sound - ღ,"hopecore, positivity, real",the_implementer,5400000,8168,505200,27100
1,3,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,258700,1015,50400,1869
1,4,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,276000,1663,101200,4408
1,5,Asn - thsituan._.,,ccabots,203700,4733,125400,3831
1,6,original sound - Modeli,,smelimodeli,177000,875,48800,1093
1,7,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,58100,49700,24200,10500
1,8,Love Is Beautifully Painful (Ghost Duet Version) - Darkrose,"fyp, foryou, foryoupage, emotional, dad, son, trans, viral",dailytokky,391400,6773,51200,7189
1,9,original sound - Deesh🌹,@kellyann2812,baddiegyals_,124400,566,8154,751
1,10,Pasto Pelu - Jowell & Randy,"14, febrero, pelo",garcianicoll504,74100,687,4054,553
1,11,original sound - leelee💕,"fyp, foryoupage, fyp%E3%82%B7, viral, fyppppppppppppppppppppppp",leeleebukkz,5000000,69100,398000,145400
