batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Aditya 💫🥀,"timoth%C3%A8echalamet, viral",timmy_chalametfan,96400,1584,20600,951
1,1,,,dobretwins,261600,4309,31400,4422
1,2,,"fyp, fypage, fypviral%E3%82%B7, capcut, meme, memecut, elmodriving, gaming, mariokart, mariokart8deluxe, nintendoswitch, gamingclips, trending, funny, viral, viralvideo",,95100,421,8365,8197
1,3,,"@laineywilson, singingbarber",,4099999,94800,282700,115100
1,4,,@bellapayton12,,282300,794,14900,6249
1,5,,"mattsturniolo, mattsturnioloedit",,277900,1490,84600,1937
1,6,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",,3800000,8739,204500,144000
1,7,,,,1000000,2658,108600,18600
1,8,,"@dajackies, @halcybella, @some.coz, mario, mariocosplay, princesspeach, princessdaisy, princessrosalina, cosplay, mariokart",,677700,1291,71200,2376
2,0,,"friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",,225400,892,25900,1663
2,1,,fyp,,3000000,10700,154400,13500
2,2,,"artistsoftiktok, tutorial, howto, fyp, graffitiart, capcut",,276600,508,57000,746
2,3,,"fyp%E3%82%B7, foryou, foryoupage, fyp, fy, indiana, waaaygood, everydayfunday, pinkysup, jasonwhatareyoudoing, ayoooo, longervideos",,1200000,32500,94500,108400
2,4,,"boardgames, gamenight, couple, fun",,38600,66,1534,190
2,5,,"fyp%E3%82%B7, makemefamous, blowthisup, viral, emanrizz, rizz",,516299,1528,39500,1621
2,6,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,115100,6131,6086,1712
2,7,,"fortnite, fortniteclips, fortnitememes",,493000,5413,36500,3466
2,8,,,,312400,790,9870,1616
2,9,,"americanhighshorts, jailbreak, iphonehack, tech",,797300,1365,55000,1683
2,10,,"fyp, trending, dogsoftiktok, foryoupage",,3700000,21900,280500,66500
2,11,,"bladeball, roblox, infinity, duolingo, bladeballclips, bladeballroblox",,562200,2545,129300,2897
2,12,,"fyp, braces, trending",,272000,3026,21300,658
2,13,,"dogsoftiktok, fyp",,7900000,19100,344900,75800
2,14,,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",,694500,15100,71900,129000
2,15,,,,335200,7148,30200,2822
2,16,,"mexicandad, fyp",,2800000,23200,226600,66800
2,17,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,402400,724,26000,367
2,18,,"chrissturniolo, chrissturniolo, chrissturnioloedit, christophersturniolo, stvrniolostar, sturniolotriplets, sturniolo, sturniolotripletsedit, edit, vsp, videostar, fyp, foryoupage, omgpage, christophersturnioloedit",,272800,1886,84400,1876
2,19,,"fyp%E3%82%B7, viral, trending, dreads, locs",,1300000,63400,101400,6751
2,20,,,,11900,186,1031,178
2,21,,"fyp, foryoupage, viral, 3kaidenn",,566600,1449,47900,2990
2,22,,blindkaraoke,,1000000,916,45400,2165
2,23,,fyp%E3%82%B7,,336000,1022,50000,2053
2,24,,"christmas2024, merrychristmas, jesusname, lordamen, happybirthday, thankgod, jesuschrist, america",,402600,47300,42000,53400
2,25,,,,412600,910,42700,568
2,26,,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",,901400,1706,74200,3357
2,27,,"fyp, nfl",,2200000,6114,225500,14800
