batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Marianna Ponce,"fyp?lang=hi-IN, foryoupage?lang=hi-IN, fyp%E3%82%B7?lang=hi-IN, lol?lang=hi-IN, omg?lang=hi-IN, relateable?lang=hi-IN, justjokes?lang=hi-IN, trending?lang=hi-IN, nieceandaunt?lang=hi-IN, justforlaughs?lang=hi-IN, kidsaaythedarnestthings?lang=hi-IN, kidssaythefunniestthings?lang=hi-IN, kidsbelike?lang=hi-IN, viral?lang=hi-IN, notthatserious?lang=hi-IN, fake?lang=hi-IN, advicefroma6yrold?lang=hi-IN",mariannaponcee,799900,13700,66900,89000
1,1,original sound - gianna,"storytime?lang=hi-IN, grwm?lang=hi-IN, crazybsf?lang=hi-IN",gi.gi.spams,773300,2849,35300,1362
1,2,original sound - Jon-Bernard Kairouz,"haircut?lang=hi-IN, barber?lang=hi-IN, woke?lang=hi-IN, comedy?lang=hi-IN, barbershop?lang=hi-IN, hair?lang=hi-IN",jonbernardk,5400000,38300,343600,147100
1,3,original sound - Police Central,"youtuber?lang=hi-IN, nikitadragun?lang=hi-IN, nikitadragunarrested?lang=hi-IN, cops?lang=hi-IN, copsoftiktok?lang=hi-IN, police?lang=hi-IN, policeofficer?lang=hi-IN, arrested?lang=hi-IN, jail?lang=hi-IN, jailtiktok?lang=hi-IN, viral?lang=hi-IN, foryoupage?lang=hi-IN, usa%F0%9F%87%BA%F0%9F%87%B8?lang=hi-IN, fyp?lang=hi-IN",policecentral.us21,811700,14400,84100,35200
1,4,original sound - Jack Doherty,"jackdoherty?lang=hi-IN, jackdohertyclips?lang=hi-IN",jackdoherty,14800,113,1016,17
1,5,original sound - Tears,"tvshow?lang=hi-IN, tiktok?lang=hi-IN, fyp?lang=hi-IN, foryou?lang=hi-IN",tears8080,132300,217,6923,573
1,6,original sound - Khulan,"learnlanguages?lang=hi-IN, learnmongolian?lang=hi-IN, utalk?lang=hi-IN",_khulan__,6439,146,661,61
1,7,original sound - Kam Tunechi 💕,"fyp?lang=hi-IN, love?lang=hi-IN, fun?lang=hi-IN, relatable?lang=hi-IN, viral?lang=hi-IN, couplegoals?lang=hi-IN, trending?lang=hi-IN, pregnant?lang=hi-IN, 34weeks?lang=hi-IN, viral?lang=hi-IN, humor?lang=hi-IN",makayla.domagalski1,25000,246,694,66
1,8,DARKSIDE - Neoni,"gotacrushonyou?lang=hi-IN, cdrama?lang=hi-IN",nn_yan4,22400,65,4657,194
1,9,original sound - Date Right Stuff,fyp?lang=hi-IN,daterightstuff,79700,2929,3116,641
