batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - emma,,choiemmaa,2400000,12400,147400,2674
1,1,оригинальный звук - 🤍|•𝚜𝚙𝚎𝚎𝚍 𝚜𝚘𝚗𝚐𝚜•|🤍,,meeynara,925100,15900,113700,3533
1,2,Mil Veces - Anitta,karolg?lang=hi-IN,_anitter,156300,378,7950,1542
1,3,american boy - ༺ 00s throwbacks ༻,,b.e.n_rl,88000,1848,9540,5565
1,4,original sound - Jana / flxyyeahloe <3,"graecabase?lang=hi-IN, chloeandyeahbert?lang=hi-IN, yeahloe?lang=hi-IN, fyp%E3%82%B7%E3%82%9Aviral?lang=hi-IN, kenthea?lang=hi-IN, kennanandalthea?lang=hi-IN, marietwins%F0%9F%90%B5%F0%9F%91%AD?lang=hi-IN",yeahloe_edits,72600,757,8145,271
1,5,original sound - ℒ𝒾𝓁𝓎⸆⸉,"@plmakeupacademy?lang=hi-IN, @glowrecipe?lang=hi-IN, @bubble?lang=hi-IN, @lorealparis?lang=hi-IN, @makeupbymarioo?lang=hi-IN, @tarte.beauty?lang=hi-IN, @bossupcosmetics?lang=hi-IN, plouise?lang=hi-IN, plouisemikayla?lang=hi-IN, makeup?lang=hi-IN, grwm_aesthetics?lang=hi-IN, grwmroutine?lang=hi-IN, grwmroutine?lang=hi-IN, grwmmakeup?lang=hi-IN",grwmwithlily8,49700,2765,4386,752
1,6,оригинальный звук - 🤍|•𝚜𝚙𝚎𝚎𝚍 𝚜𝚘𝚗𝚐𝚜•|🤍,@09.02.600?lang=hi-IN,di1araa.s,492000,2781,47900,2930
1,7,抖音Outside(DJ版) - 苏瞳,"viral?lang=hi-IN, fypageeeee?lang=hi-IN, fyp%E3%82%B7?lang=hi-IN, foryoupage?lang=hi-IN, fypage?lang=hi-IN, fy?lang=hi-IN, foryou?lang=hi-IN, cabincrewlife?lang=hi-IN, cabincrew?lang=hi-IN, crew?lang=hi-IN, flightattendant?lang=hi-IN, stewardess?lang=hi-IN, fyp?lang=hi-IN",itsmekikooooo,1600000,4487,52900,1715
1,8,Made for me remix - djrunit954,"@danielaagui1ar?lang=hi-IN, @reginamochii?lang=hi-IN, bestfriend?lang=hi-IN, besties?lang=hi-IN, friendshipgoals?lang=hi-IN",reginandaniela_,6788,208,1277,87
1,9,another love - ✨️,"pandaspans?lang=hi-IN, tourettes?lang=hi-IN, tourettessyndrome?lang=hi-IN, foryou?lang=hi-IN, awareness?lang=hi-IN, tics?lang=hi-IN, jawtic?lang=hi-IN",thistrippyhippie,1400000,18800,95300,7298
1,10,Cha Cha - ZEDDY WILL,"cuteoutfits?lang=hi-IN, powerpuffsgirls?lang=hi-IN, powerpuffdunks?lang=hi-IN, blackgirlsoutfit?lang=hi-IN",razzi_boo,4418,223,668,23
1,11,original sound - Isaac & Andrea,,isaacandandrea25,39900,44,2413,86
2,0,original sound - Shut up.,"foryou?lang=hi-IN, henna?lang=hi-IN, bridalhenna?lang=hi-IN, bridalhennaartist?lang=hi-IN",mehndiby_mina,80900,294,7515,250
2,1,original sound - ❤️Jamani❤️,"fyp%E3%82%B7%E3%82%9Aviral?lang=hi-IN, viralvideo?lang=hi-IN, fyp%E3%82%B7?lang=hi-IN, gift?lang=hi-IN, showinglovetotheneedy?lang=hi-IN, trendingvideo?lang=hi-IN, fyp?lang=hi-IN",qwin_jamani,831300,11000,44400,7086
2,2,Tell Ms. K (Remix) - Khalia V.,"bestteacherever?lang=hi-IN, thirdgradeteacher?lang=hi-IN, fyp?lang=hi-IN, viral?lang=hi-IN, teacherbae?lang=hi-IN, tiktokteacher?lang=hi-IN, share?lang=hi-IN",itsmekhaliav_,321200,2029,46800,810
2,3,original sound - Funny,"meme?lang=hi-IN, funnyvideos?lang=hi-IN, fyp?lang=hi-IN",memebrzi,4800000,35900,481300,158300
2,4,Rave no Escurinho Bota a Mão na Parede - Davizin & MC TOPRE,"foryou?lang=hi-IN, foryoupage?lang=hi-IN, pourtoi?lang=hi-IN, trend?lang=hi-IN, dance?lang=hi-IN, brazil?lang=hi-IN, family?lang=hi-IN, viral?lang=hi-IN",nina.rz__,64200,347,4212,219
2,5,original sound - Miyachanel,"fyp?lang=hi-IN, blowthisup?lang=hi-IN, welegaltiktok?lang=hi-IN, christmascarol?lang=hi-IN, hoodchristmascarols?lang=hi-IN",itsbigmiyaa,95100,655,23800,1926
2,6,original sound - Nicole Bloomgarden,,nicolebloomgarden,157600,725,8492,2502
2,7,original sound - spo6kzie,,abbysaltzmaniscute,208600,2892,37700,707
2,8,Wop × Untouchable - ARNEL REMIX,,iyakhyar0v,205300,2114,14400,851
2,9,original sound - Garon Kimmell,"tiktok?lang=hi-IN, fyp?lang=hi-IN, tvshow?lang=hi-IN, them?lang=hi-IN, video?lang=hi-IN",garon.kimmell,21000,354,4131,131
2,10,All I want for Christmas sped up - Stan :),"sunnyvr?lang=hi-IN, snowvr?lang=hi-IN, viral?lang=hi-IN, fyp?lang=hi-IN",official.jaxo_vr,185300,1075,39000,11900
2,11,original sound - haleyybaylee,@courteneycoxofficial?lang=hi-IN,haleyybaylee,4500000,9204,184300,10500
2,12,original sound - sweetnsour,,sweetnsour.official,9177,92,686,33
