batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ItsAndrewz🥴,,itsandrewz,626900,5587,81300,12800
1,1,,,dobretwins,350900,1908,25800,636
1,2,,"fy, foryou",,370600,2031,39900,2134
1,3,,,,798700,1238,25700,845
1,4,,"easyrecipes, slowcooker, homecooking, onepanmeal",,772600,12600,249500,113000
1,5,,"fyp, icks, crushes, boys, girls, signs",,279700,7114,20600,145400
1,6,,foryoupage,,149700,411,7947,144
1,7,,,sylvester_danielle_,184700,490,9060,147
1,8,,"h2ojustaddwater, h2o, fanedit, mermaid, aussie, australian, makomermaids",,1500000,5413,120800,7241
1,9,,,,248800,8255,29400,691
1,10,,"viral, felicidade",eduprimitivo,232700,791,10900,3222
1,11,,,,245200,595,18400,664
