batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Michael Hills,"fyp, thebatman, batman, fortnite",michaellhills,5500000,32500,605500,123000
1,1,,@louieveemoonteenmoonfam,louieveedee,297300,1571,20300,722
1,2,,"fy, foryou",,371100,2034,39900,2136
1,3,,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",,280800,629,15600,166
1,4,,,,30400,1340,1129,120
1,5,,"mattsturniolo, mattsturnioloedit",,278100,1492,84700,1940
1,6,,fyp%E3%82%B7,,336600,1022,50100,2056
1,7,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,402500,725,26000,368
2,0,,,,943000,1871,62900,575
2,1,,"fyp, trending, dogsoftiktok, foryoupage",,3700000,21900,280600,66500
2,2,,"fyp, relatable, relationship, couple, viralvideo, gf, bf, huh, foryourpage",,350400,2708,30300,2107
2,3,,"fyp, xyzbca, viral",,1900000,9212,158200,17300
2,4,,"fyp, askkj, xyzbca",,215700,808,20100,611
2,5,,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",,265400,1061,41600,3754
2,6,,,,11900,186,1032,178
2,7,,rihanna,,507200,1370,19500,1447
2,8,,"@555.safjola.555, @johnniibeanasmr, asmrlivenow, dentistasmr, realisticasmr, asmrhumor, asmrsounds, asmrroleplays",,172500,1518,23500,661
2,9,,"games, familygames, christmas, familygamenight, christmasparty, reels, partygames, tablegames",,21500,1410,2302,932
2,10,,"fortnite, fortnitebr, fortnitebattleroyale, fortnitecreative, fortnitefestival, legofortnite, fortniteracing, fortnitememes, fortnitevideos, fortnitetips, fortnitetiktok, fortniteclan, fyp, foryou, foryoupage, fypplease, foru, foryoupageofficiall, fyponly, foryouonly, foryoupageonly, viral, fyp%E3%82%B7, funny, fypviral, viralvideo, viraltiktok, viralvideoonly",,1600000,8874,239200,12600
2,11,,,,268900,952,20300,3838
2,12,,"fyp, viral, trending, twins",,664600,1300,105300,6536
2,13,,"cold, freezing, meme, fyp%E3%82%B7%E3%82%9Aviral, funny, relatable, fastfood",,120000,545,7869,2125
2,14,,"ilovemybf, boyfriend, girlfriend, bf, gf, doll, livingdoll, dollette, porcelain, sweet",,473500,0,70500,9047
2,15,,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",,694600,15100,71900,129000
2,16,,"fyp, sleepingschedule, relatable",,646900,3532,79800,4802
2,17,,"duoplushie, duolingo, languagelearning, emo",duolingo,5800000,165700,526100,109000
2,18,,"hoodie, makeup",,173100,337,5803,98
2,19,,"fu, erich, money",,1100000,26300,94500,19100
2,20,,"chainsfr, animation",,133600,413,16700,342
2,21,,@bellapayton12,,282300,794,14900,6250
2,22,,,,207500,2426,11000,811
2,23,,"fyp, explore, apple, tesla, cybertruck, applevisionpro",whistle,453500,5706,33500,13800
2,24,,"lifehacks, didyouknow, todayyearsold, fyp",,67000,507,5236,502
2,25,,"%D0%BF%D1%83%D1%82%D0%B8%D0%BD, %D0%BF%D1%80%D0%B8%D0%BD%D1%86, %D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F",,252400,998,24100,9302
2,26,,"ootd, outfitinspo, fashion, fitcheck, ootw",,687300,1772,67200,1944
2,27,,"fyp, 4u, relatable, viral, emo, 08, tgcf, obeymeshallwedate, genshinimpact, highschool",,862400,8206,96000,6516
