batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ABKYS,,aubreykeeyyysss,30400,1340,1128,120
1,1,,,mamag50_6,7500000,17100,632100,23700
1,2,,"americanhighshorts, jailbreak, iphonehack, tech",,797200,1365,54900,1683
1,3,,,,335200,7148,30200,2822
1,4,,,,411800,908,42600,566
1,5,,"rottweiler, petsoftiktok, rottweilersoftiktok, dogsoftiktok, rottweiler, rottiesoftiktok, rottie",,192100,375,9363,498
1,6,,"hoodie, makeup",,173000,337,5797,98
1,7,,"boardgames, gamenight, couple, fun",,38600,66,1534,190
1,8,,,,1000000,2658,108600,18600
1,9,,"fortnite, fortniteclips, fortnitememes",,492900,5413,36500,3466
