batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,409800,1817,44700,7153
1,1,,"capcut, viealvideo, humbe, fantasmas",,195900,238,33000,1189
1,2,,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",,755800,9332,81500,80500
1,3,,"fyp%E3%82%B7, therealnia, foryoupage, trending, comedy",,388400,3201,42600,1154
1,4,,"fyp, nfl",,2200000,6111,225300,14800
1,5,,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",,257700,5366,84700,5628
1,6,,"car, auto, cartiktok, cars",,391500,4446,70500,54800
1,7,,"@laineywilson, singingbarber",,4099999,94700,282100,115000
1,8,,"easyrecipe, crockpotmeals, familyrecipe, homecooking",,704700,12500,290300,172100
2,0,,,artistgary,113100,15400,9254,4841
2,1,,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",,522600,3713,36600,143000
2,2,,,,449800,5712,26000,7015
2,3,,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",,2400000,33600,241100,82400
2,4,,,,3800000,34200,571200,61300
2,5,,"genxmom, midlifewomen, hotflashhack, lifeover50, tiktokmomsclub",,116600,4808,3733,29900
2,6,,"fyp, dog",,664100,3938,74800,15800
2,7,,fyp,,3000000,10600,152900,13400
2,8,,"fortniteclips, fortnitememes, fyp",,468500,2119,29900,288
2,9,,"signagedesign, signage, ledneon, ledlight, signature, lightbox",,85700,301,12100,3837
2,10,,"paperplanes, paperplanetutorial, origami",,23100,111,10400,18100
2,11,,"fyp, viral, themadtwinz, cupchallenge",,215500,2134,32600,2585
2,12,,"fyp, sick, cold, cough",,528200,5369,41000,3968
2,13,,"poodle, standardpoodle, blizzard, snowdog, buffalo, buffaloblizzard, baddog, snowday, showdog",,7700000,58900,455100,280300
2,14,,"bowhunting, bigbuck, archery",,536600,6520,64400,38000
2,15,,"sneakers, shoegame, challenge, shoetok, inmyjs, heels, fashiontiktok",,181200,2330,20600,6137
2,16,,"fyp, hellokitty",,2200000,26100,275400,34200
2,17,,,,842000,13900,53700,4660
2,18,,"basketball%F0%9F%8F%80, %E4%B8%AD%E5%9B%BD%E7%AF%AE%E7%90%83, %E9%87%8E%E7%90%83%E5%9C%BA, fypmalaysiatiktok%F0%9F%87%B2%F0%9F%87%BE, %E4%BA%94%E6%98%9F%E9%AB%98%E4%B8%AD%E7%94%9F, foryoupage, ballgames, %E7%BE%8E%E5%BC%8F%E7%B1%83%E7%90%83, %E7%AF%AE%E7%90%83",,46900,131,2288,195
2,19,,"stanleycup, stanley, findingstanleys, fyp%E3%82%B7",,65500,1617,7181,94
2,20,,,,170500,1635,10300,1005
2,21,,"capcut, capcut_edit, capcutvelocity, rek",,31900,120,9972,111
2,22,,"missycooper, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",,709800,4232,146700,2710
2,23,,"networth, money, sharktank, scrubdaddy, capcut",,544900,1492,47000,2829
2,24,,"mipropiomuseo, fantasmas, capcut, %F0%9F%A5%B9%F0%9F%A5%B9, atardecer, viralvideo%F0%9F%94%A5, %F0%9F%92%97%F0%9F%A5%B9%E2%99%A1, honduras%F0%9F%87%AD%F0%9F%87%B3%F0%9F%87%BA%F0%9F%87%B8%F0%9F%92%99504%F0%9F%91%80%E2%9D%A4_viral",,132300,93,25200,636
2,25,,"fyp, foryoupage, food, cooking, foodasmr, recipe",,394200,1420,25200,728
2,26,,,,30100,1331,1108,117
2,27,,,,50000,2268,3329,4850
2,28,,"genderreveal, boyorgirl, guess, surprise, mom, dad, icebath, icequeen, coldplunge, fun, family, hubby, parents",itskyajeub,1500000,13600,49100,26300
