batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Nathan Legagnoux,"fyp%E3%82%B7%E3%82%9A, foryoupage, specialforces, soldier, military, militaryedit",nathan.legagnoux,624400,4796,169800,25900
1,1,son original - MadaradusalFans 🫡,"madara, madaradusal, realmadaradusal, madaradusalfans",madaradusalfan,61000,103,2104,191
1,2,son original - Pr Madara,narutoshippuden,pr.madara,75200,280,6137,1034
1,3,Bécane - A COLORS SHOW - Yamê,"willywonka, southbeach, miami, trending, foryoupage",legendalreadymade,5183,116,244,31
1,4,Hahahaha again - Kelsey🪖💐,trauma,vivus_mortuus,100900,396,3134,137
1,5,sonido original - Kimberly Loaiza,,kimberly.loaiza,1900000,6016,97200,2837
1,6,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"fyp, foryou, relate, worstaccent",salimzwrld,97700,23200,8798,990
2,0,Barbie Girl (Piano Arrangement) - Alexandre Pachabezian,"fyp, gift, giftwrapping, wrappinggifts, wrapping, wrappinghacks, birthdays, hacks, christmas, christmasgift",byrubbia,1700000,2739,411200,24400
2,1,Get You the Moon - Syf,"%D0%BB%D0%B5%D0%BE%D0%BF%D0%B0%D1%80%D0%B4, %D0%BF%D0%B0%D0%BD%D1%82%D0%B5%D1%80%D0%B0, %D0%BA%D0%BE%D1%88%D0%BA%D0%B0",homecatluna,51200,621,2634,1181
2,2,God Save the Queen - Donald Fraser,"princessdiana, thecrown, kingcharles, royalfamily, netflix, dayinmylife, boyfriend",angelllboys,15900,195,912,315
2,3,BATTER UP SLOWED - ➺ν⁹⁵,junghaein,xacthaein,126500,841,8648,1162
2,4,Lovin On Me - Jack Harlow,,alishalehmann7,515400,1186,20400,769
2,5,FIRST LOVE - Oscar Ortiz & Edgardo Nuñez,,vanesss.24,146200,854,8328,795
2,6,Little Things - Adrian Berenguer,"pug, dogsoftiktok, petsoftiktok, puppy",pugloulou,100000,1073,8691,2939
2,7,original sound - Kierra Lewis,"manacled, dracomalfoy, hermoine, harrypotter",kierralewis75,33100,1169,2582,689
2,8,original sound - KC,"northwest, kimkardashian, kendalljenner, kardashians, fyp",kardahiansclips,1000000,1832,47400,4050
2,9,original sound - 𝘫𝘰𝘴𝘩𝘧𝘺𝘱,"joshhutcherson, josh, trend, trending, edits, edit, joshhutchersonedit, whistle, fyp, viral, boost, likes, ae, editor",j0shfyp,608000,8647,107400,25600
2,10,No Lethal - Kman 6ixx,"ztekkforlife, longlivebrad, zebee, trinibago, cjdan, jefffullyauto, maraval, beethamgardens, rebelsix, rebelsixx%F0%9F%91%8C%F0%9F%8F%BD%F0%9F%95%8A, tman, tman9, byronmessia, zoomboss, klion, klionnnn, klion%F0%9F%A4%99%F0%9F%8F%BD%F0%9F%A6%81%F0%9F%95%8A%F0%9F%95%8A, klionmusic, 38frombl, trinigood, laventille, trinibad, ztekk, kratos7, music, hiphop, popcaan, jamaicamusic, jamaica, belmontislove, portofspain, kalonji, ztekknothing, tobago, fullylooney, trinidadtiktok, wackodan6, wackodan, trinibad%F0%9F%87%B9%F0%9F%87%B9, fully7, ripwackodan, boyboy",trinidadbadness,6767,143,508,536
2,11,original sound - Darktales Animations,"usa%F0%9F%87%BA%F0%9F%87%B8, foryou, viral, 2danimation, animation, relatable, managementproblems, veronica, worklife, workplace, customerserviceproblems, customers",dark_tales0,77600,822,5462,4052
2,12,Shik Shak Shok - Hassan Abu El So'oud,,maryam.amaria,122200,330,7703,1491
2,13,son original - PLANÈTE,"kyliejenner, stormi, jacquemus, fyp, stormiwebster, pfw24, pfw, kuwtk, keepingupwiththekardashians, foru, foryou, foryoupage, blowthisup",papibrum,106900,175,8818,1014
2,14,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,212300,282,4615,234
2,15,original sound - Chloe Taylor,"thingsgirlsdo, chloetayloruk, relatable, fortheboys",chloetayloruk,349600,4359,37700,2073
2,16,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan",@09.02.600,di1araa.s,493900,3284,46900,2815
2,17,Dawns - Country music fan💕,,jadamichaelaa,258300,705,11300,193
2,18,original sound - EX7STENCE™,"timoth%C3%A9e, timotheechalamet, zendaya, florencepugh, austinbutler",timhalchal,71100,168,3820,179
2,19,original sound - Mindset Tok,"mentality, motivation, mindset",mindestcore,434700,495,56700,2022
2,20,wherever u r (ft. V of BTS) sped-up - UMI & V,"@kahikook, @bts_official_bighit, umixv, whereverur",whoisumi333,35100,471,1471,182
2,21,original sound - umi,"@bts_official_bighit, tae",whoisumi333,53800,683,4017,663
2,22,original sound - Mr. Kitters the Cat,"fyp%E3%82%B7, iautocompleta, expandetufoto",mr.kitters.the.cat,32500,124,1351,135
2,23,original sound - r & m <3 ⸆⸉,"greenscreen, blinditems, tea, gossipgirlhere, gossip, hollywood, celebrity, blakelively, serenavanderwoodsen, gossipgirl, ryanreynolds, hughjackman, deadpool, taylorswift, supebowl, superbowllviii, icespice, swifttok, swiftie, chiefs, swifties, swiftok, swiftietiktok",thekylemarisa,80300,1515,1602,1054
2,24,yelena belova needs a hug - eliza! 🎧,", gymtok, gymcommunity, gymsupport, wholesome",lilylifts_,373800,1180,14300,790
2,25,La Suma - Javier Rosas Y Su Artillería Pesada & Lupe Borbon y su Blindaje 7,viral,adrianaolivarez19_,157900,1088,5981,913
2,26,original sound - Swifties Taylors fans,"@taylorswift, vmas, taylorswift, arianagrande, jlo, showmustgoon",swifties200,150000,518,6140,331
2,27,vampire - Olivia Rodrigo,"tallgirl, tallwoman, mileycyrus, selenagomez, taylorswift, edsheeran, michaeljackson, helenefischer, petermaffay",natali_vieru15,265900,1375,10500,1379
1,0,In Essence (Slowed) - Ka$tro,"tiktokautomation, tiktokcreativityprogram, tiktokcreativityprogrambeta, makemoneyontiktok, makemoneyfromhome, onlinebusiness, sidehustle, passiveincome, aitools",hustle.faceless,10300,363,8005,956
1,1,TRANSGENDER (PEARL WHITE VIP) - PEARL WHITE,,jumpersrewinds,653700,8221,95000,25800
1,2,son original - KOZE MIZIK,"@metro_reaction, pourtoi, fyp, viral, foryourpage",kozemizik22,75800,5334,9489,776
1,3,original sound - khuncoin,"crypto, bitcoin, fyp",khun.coin,9709,257,964,999
1,4,1 second count / when button pressed / time signal 23(1117365) - QUESS,"yap, interestingfacts, noncity",noncityyy,68500,7428,10600,20200
1,5,original sound - .,"fyp, wlw, foryou, foryoupage, lesbian, lesbiansoftiktok, trending, blowthisup, viral",lace.igh,16500,46,432,49
1,6,original sound - Logan Paul,applevisionpro,loganpaul,210200,261,6032,543
1,7,som original - samara 🎧,,elysha.offspam,5100000,59400,403600,80400
1,8,original sound - Marrk Adams,"comedy, viral",_marrkadams89,4972,77,1002,99
1,9,original sound - SpongeBob background music,"lgbt, lgbtq, lgbtqtiktok, twins, twinning",ohknoworries,338000,2259,13500,1656
1,10,الصوت الأصلي - ديري,"funnyvideo, trending, fyp, funny",_funny.official,1379,8,126,27
2,0,original sound - SULTAN,foryou,sultan_zaheer,297800,4277,29600,13600
2,1,son original - power_officiel1,"fyp%E3%82%B7%E3%82%9Aviral, tokyorevengers, opm, contenueoriginal, power_officiel1, anime",power_officiel1,122400,732,15500,327
2,2,original sound - Jonah Kaylor,"mashup, song, vs",jonahkaylormusic,32400,571,6435,188
2,3,redrum - 21 Savage,fyp,marzkicks,640700,2222,50000,8612
2,4,LALALALA - Stray Kids,"fancam, straykids, felix, lalalala",felixleexxxl,110500,1238,21200,1585
2,5,Original Sound - Unknown,"theriansarevalid, quadrobics, furrytrash, furryfandom, furrytiktok, furryandtherian, furrytherianfyp, furrypride, therianfyp, therianthropy, dholetherian, deertherian, therianandfurrysafeplace, furry, therian, ghostbandserver, ghostbandghouls, ghostbandfan, wolftherian, thebandghost, theriansarevalid",wolfpawed.kai,47,3,4,0
2,6,original sound - ElevenZ,elevenz,elevenz.gg,3605,100,575,503
2,7,son original - Lauuren.cruz,,lauuren.cruz,136800,4514,8850,3164
2,8,nhạc nền - palama_47 - Baby_Cute_no.1,"trending, funny",thuy22_tqvn,21800,83,1496,809
2,9,чоооо - 𝙢𝙚𝙤𝙬?🌷,"trending, funny, funnyvideos, meme, fyp",memefun2030,1211,17,153,364
