batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,оригинальный звук - никто,,esterbron1,44200,375,145100,478
1,1,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,274500,1647,96200,4381
1,2,original sound - cadaea,,cadaea,616500,5251,96500,9899
1,3,Originalton - Sigita,"sigita03, foryoupage",sigita03,309200,2330,18000,24600
1,4,you are my sunshine - christina perri,"lostchild, grief, angel",jomini,1500000,3040,52800,12500
1,5,original sound - Pilobolus,,pilobolus,14200,232,2983,304
1,6,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,32000,19300,3619,9559
1,7,nhạc nền - Thế giới 🌏,,bian_ghotst,3400000,48800,334900,146500
1,8,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,60800,184,5335,285
1,9,original sound - Talk True,,osmanmuniru2,88200,17,5403,37900
1,10,Coup du marteau - Tam Sir,"crispdal, speedal, purplespeedy",crispdal,657900,4433,38200,2031
1,11,оригинальный звук - ynogasai,"funnyvideo, funny, fyp, trending",_funny.official,19100,215,2969,810
2,0,son original - La Fameuse509,@edoulove24,lafameuse509,9904,2836,1325,171
2,1,Barbie World (with Aqua) [From Barbie The Album] - Nicki Minaj & Ice Spice & Aqua,"icespice, munch, icespiceconcert, fyp, foryou, concert, dansechallenge, pourtoi",icee_spiceefan,99300,1446,10100,1371
2,2,SomeoneYouLoved(Cover) - 十八闲客,,opppleeen,75500,1218,8177,939
2,3,Ick - Alt Ending - Lay Bankz,,blondielovesballs,12100,472,5707,241
2,4,Funny - Gold-Tiger,"foryou, fyp",miusuu362,21600,123,2432,768
2,5,original sound - Alvardo,"fyp%E3%82%B7, foryou, movieclips, funny",alvardo.nb,180600,321,17700,460
2,6,son original - Fanatik_Kompa,"christinamarie621, christinamrie621, truereality3, truereality13, christinamariee622",christinamarie621,27400,591,2144,181
2,7,original sound - Nieka Richard,"@wockhardt03, principalrichard",niekarichard,8500000,108300,692700,130199
2,8,original sound - ❥ 🇪🇸◟خويلد ؟,,vaynessvalery,3414,24,251,10
2,9,son original - JOHN KERRY ✅,,johnkerryo1,1647,632,146,44
2,10,son original - Zaki,humor,blondekattya,54100,105,5735,246
2,11,original sound - Avatar<3 (peters version),"robbiekay, peterpan, peterpanouat, peterpanedit, peterpanouatedit",..thewayofthewater,184,3,42,1
2,12,original sound - 🍄🦊*°Fern°*🦊🍄,"capcut, capcut, nc, therian, foryou, fypp, fyppppppppppppppppppppppp, fyp, fyp%E3%82%B7%E3%82%9Aviral, northcarolinatherians, fyp%E3%82%B7, theriancommunity, theriantiktok, therianmask, theriangear, northcarolinatherian, therianthropy, therianpride, support, naturelove, nature",wild._fern,825,55,118,2
2,13,bodak yellow - ☆ *. ¡!,,andreas.is.mine,11,3,0,0
2,14,KYLE RICHH x NO MORE EXCUSES - EazyOnTheTrack,,ema_bb0,127000,859,18300,1151
2,15,original sound - Ralph Childs,"kidsbelike, funnyy, fam, holiday",artisey,5600000,39400,463200,191000
2,16,original sound - 𝑛𝑒̀𝑙𝑙𝑎ଓ,"twins, mixup",starandshontwins,192900,688,6561,1062
2,17,Bongos (feat. Megan Thee Stallion) - Cardi B,,esterbron1,35900,132,4514,522
