batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,You Can't Beat Me Challenge Jersey Club (Suunnnlight Vocals) - YKaY,fyp%E3%82%B7,chasityromann,327900,991,48600,2007
1,1,,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",,755800,9332,81500,80500
1,2,,"ikea, joinmylive, justinkittelson",justinkittelson,151300,428,7250,248
1,3,,"animals, confusingbehavior, chipicat, cutecat, catdance",,712300,11700,70700,93200
1,4,,"@laineywilson, singingbarber",,4099999,94700,282100,115000
1,5,,"fu, erich, money",,1000000,23400,90900,18200
1,6,,"relax, asmr, sipsak55, %C5%9Fip%C5%9Fak55, relaxing, relaxtime",,518299,2496,39800,1640
1,7,,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",,257700,5365,84800,5629
2,0,,,,30100,1331,1108,117
2,1,,"samsungs9, galaxys9, s9, cheapmobiledubai, malikmubashar333",,76700,1049,3655,1814
2,2,,"gloving, lightshow, tutting, rave, edm, ravetok",,47000,227,5505,186
2,3,,"fyp%E3%82%B7, fatherdaughter",,180800,547,29000,710
2,4,,"parrot, parrotsoftiktok, bird, pet, cute, foryou, tiktok",,651700,22900,52200,148100
2,5,,"@iloverussellwilson, @888tweak, football, nba, kobe, soccer, neymar, fyp, foryou",,816100,2609,81200,1273
2,6,,,,1200000,2301,112400,3753
2,7,,,,3800000,34300,571600,61300
2,8,,"fyp, %F0%9F%98%85%F0%9F%98%85%F0%9F%98%85%F0%9F%98%85, foryoupage, funny, funnyvideos",,9908,952,753,2412
2,9,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,114800,6110,6070,1711
2,10,,"fyp, dragonfruit, valentinesday, heartshaped, jello",,64099,71,2922,83
2,11,,"car, auto, cartiktok, cars",,391500,4446,70500,54800
2,12,,"missycooper, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",,709900,4232,146800,2710
2,13,,,,3300000,7701,156600,8113
2,14,,"fyp, nfl",,2200000,6112,225300,14800
2,15,,"fyp, dog",,664100,3939,74800,15800
2,16,,"planehacks, christmasvacation, traveltiktok, familytime",,612400,2663,50700,6555
2,17,,,brentrivera,254100,576,14400,1396
2,18,,"food, languages, chinesefood, restaurant, noodles, mandarin, delicious",,6000000,29800,265300,24900
2,19,,"meme, real, viral, fyp, funny, meandbro, relatable, animals, homie, homies, friends, friend, fathomie, school",,3300000,52200,394400,171300
2,20,,"fortnite, fortnitememes, fortniteclips, fyp",,175300,2114,20900,1583
2,21,,"mom, love, bday, special, missyou, birthdaygirl, loveyou, memories, babyboy, moments, bestpart",,677300,21900,34800,8825
2,22,,,,143300,318,12100,1358
2,23,,"genderreveal, boyorgirl, guess, surprise, mom, dad, icebath, icequeen, coldplunge, fun, family, hubby, parents",itskyajeub,1500000,13600,49100,26300
2,24,,"easyrecipe, crockpotmeals, familyrecipe, homecooking",,704800,12500,290300,172100
2,25,,"networth, money, sharktank, scrubdaddy, capcut",,545300,1492,47000,2829
2,26,,@0fficial.va3h,,2600000,8992,152100,31400
2,27,,,,842100,13900,53700,4660
2,28,,,,50000,2268,3330,4850
3,0,original sound - Josh Liljenquist,,joshlilj,185600,517,6943,195
3,1,original sound - 💜Kayla & Kyla🩷,"fyp, viral, themadtwinz, cupchallenge",themadtwinz_,215500,2135,32600,2585
3,2,som original - SpxMac,"respect, foryou, viralvideo, help, police, soldier",like120833,28400,153,1737,330
3,3,twirlanta - wzvrsl,"%D0%BF%D1%83%D1%82%D0%B8%D0%BD, %D0%BF%D1%80%D0%B8%D0%BD%D1%86, %D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F",karich127,252300,997,24100,9300
3,4,Banm Pase - AndyBeatz,"shlay%F0%9F%91%B8%F0%9F%8F%BB, shlaynation%E2%9D%A4%EF%B8%8F%F0%9F%A4%9F%F0%9F%8F%BE%F0%9F%94%90, haitiantiktok%F0%9F%87%AD%F0%9F%87%B9, congelar, %E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C, %E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97",elflacofranciscoshlay,123300,1825,10000,640
3,5,son original - didot2,"fyp, couplegoals, relatable, trending, viral, foryou, couplecomedy, relationship, couplestiktok, funny",raeandbabyc,41500,161,2022,1389
3,6,FANCY (SLOWED + REVERB) - Godlike Pariah,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",inthehandsoflando,309100,540,71300,1319
3,7,original sound - Zacharia waigama,"__odokay, fyp%E3%82%B7%E3%82%9Aviral",__odokay,294900,2059,11000,2052
3,8,Let It Fly - Mr. Thank You,,artistgary,113100,15400,9254,4841
3,9,original sound - TBN,"@bethelmusic, @bethelmusic",tbn_official,798300,8546,53200,96100
3,10,my gf is chae - Habadduuyyy,"seungmin, kimseungmin, straykids, skz, stay, lovestay, kpop, edit, %EB%8F%85group, capcut",hoodiseason,516900,3514,132400,9054
3,11,original sound - MOONTELLTHAT,,moontellthat,1600000,10200,112200,19300
3,12,Lovin On Me - Jack Harlow,"jackharlow, lovinonme, cats, rap, hiphop, raptok, cat, catsoftiktok, fyp",chillestcat,1800000,20800,209400,78300
3,13,Why Not - Slowed + Reverb - Ghostface Playa,"football, soccer, vairal, foryou, footballmoments",theart.ftbl,780800,1918,31200,2462
