batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,استعملو الصوت جعلني افداكم - Ah,@gpalase,ike_ike_0,513700,229800,158800,138300
1,1,الصوت الأصلي - Jessica Cortes,"%D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87_%D8%AF%D8%B1%D8%A7%D9%85%D8%A7, %D8%AC%D9%87%D8%A7%D8%AF_%D8%A7%D9%84%D8%B4%D9%85%D8%B1%D9%8A%F0%9F%92%99, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_",hba762,60900,676,4265,630
1,2,original sound - haleyybaylee,,mmmjoemele,3700000,27300,404000,46800
1,3,original sound - Stacy ❤️‍🩹,,stacywiss,610500,5735,30200,12400
1,4,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,"light4198, queen_zoei, queenzoeforever",light4198,102300,75200,82700,23200
1,5,Lovin On Me - Jack Harlow,"fyp, egirl, viral, fakebody",daisybloomss,97900,724,10000,318
1,6,Originalton - Sigita,"sigita03, foryoupage",sigita03,325000,2415,18800,25100
1,7,original sound - Alfa!! (Susie’s version🤍),,oop_okay120,9,1,5,0
1,8,Hoist the Colours - Bass Singers Version - Bobby Bass,"fishing, fish, foryou",meme_nguyen1994,784900,14300,122600,20300
1,9,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,98400,10800,16300,5974
2,0,orijinal ses - YasinCengiz,"@himmetpolatt, @agababadoner, skibidopdopdop, yasincengiz, skibididance, byg%C3%B6bekshow, dansshow, skibidichallenge, g%C3%B6bekshow, skibitoilet, almanyadakit%C3%BCrkler, dans, dansshow, rip, t%C3%BCrkiyem, yasin, yasindance, donerkebab, turkishkebab, arabicfood, bestrestaurants, bestfood, istanbulrestaurant, eniyirestoran, a%C4%9Fababad%C3%B6ner, hamburger, burger, meatball, g%C3%B6beksallayanadam",yasincengiz38,4300000,44100,291700,172200
2,1,original sound - I LOVE JESUS♥,"christmas2024, merrychristmas, jesusname, lordamen, happybirthday, thankgod, jesuschrist, america",usa.jesusloveyou,402400,47300,42000,53400
2,2,оригинальный звук - RemixChannel066,"fyp%E3%82%B7, ziano",ziano.beta,33100,28100,8451,4850
2,3,Teddy Bear x prodbyrl - Terror,,isa.loves.u.pookie,10,0,1,0
2,4,original sound - CAITLYN JAYE,,caitlyn.jaye,316500,2689,14800,1342
2,5,World A Music - Ini Kamoze,,coral_rafa,6200000,93200,359700,126700
