batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,lowe.dat - suritasarapist69,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",therealcoolspot,445600,2647,35900,1475
1,1,,"lamborghini, urus, fyp, loud, exhaust, fabspeed, raw, foryou, goodbye",,122000,2299,6991,4521
1,2,,benetnicole,,378000,1295,36400,1216
1,3,,"fortniteog, trending, fyp, foryoupage, fortnite, trickshot, snobbyshores",,311900,934,30300,1296
1,4,,"collect, warrior",,209600,1841,22900,4181
1,5,,"comedy, dogsoftiktok, dogmom, goldenretriever",,1300000,13600,78300,200800
1,6,,"boardgames, gamenight, couple, fun",,1600000,3681,89900,26600
1,7,,"jesus, prayer, bible, christianity, dios, pray, bibliae",,87900,19900,27300,4211
2,0,,@queenchelsea,brentrivera,565200,8559,35100,13100
2,1,,"dogsoftiktok, fyp",,7900000,19000,344700,75800
2,2,,"bowhunting, bigbuck, archery",,537200,6529,64500,38100
2,3,,"car, auto, cartiktok, cars",,391700,4455,70600,54800
2,4,,,,30400,1340,1124,120
2,5,,"nashvillehotchicken, asmr, fyp, foodhub",,948800,3279,85700,28800
2,6,,"fyp, foryou, bracelets, colorful, teacher, 5thgrade, drip, viral, fyp%E3%82%B7, blowthisup, trending, xyzabc, xyzbcafyp%E3%82%B7, fyppppppppppppppppppppppp",,217800,1349,11800,407
2,7,,"dy0ntae, twitch, roblox, impossibleobbyroblox, blowthisup, viral",,410400,2008,49200,2108
2,8,,"fyp%E3%82%B7, valentinesday, sad, basketball, xyzabc",,521799,6484,60900,13200
2,9,,"@maximfeyenoord, theantiquatedgent, asmr, fyp, shavetiktok, replyingtocomments, shavescience",,422200,16500,21500,347
2,10,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,115000,6126,6085,1712
2,11,,"dnd, yhauna, fyp, fypage, fy, foryoupage, foryou, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, fyppppppppppppppppppppppp, dontletthisflop, relatable, funny, viral, viralvideo, blowthisup, trending, flopada, flopera, floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, floptok, makemefamous, xyzbca, xyzbcafyp%E3%82%B7, viraltiktok, tiktok, relateablecontent, ipad, stopflop%F0%9F%A5%B1",,1100000,4962,106000,6202
2,12,,"blueivycarter, renaissancetour, blueivy, ivyleague, beyonce, blueivyhair",,215400,407,13000,157
2,13,,"fyp, highschool, viral",,1200000,5921,129199,1702
2,14,,"cars, stance, tunemaxstyle",,614400,4048,122700,17300
2,15,,"vfx, robotvaccuum, robotvacuumandmopcombo, robotvacuumcleaner",,221700,3716,18700,23600
2,16,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4489,127200,12100
2,17,,"@patmfclash, ford, truck, transmission, specialist, technician, automotive",,534100,7410,37000,8155
2,18,,"indianringneck, talkingparrot, love, babe, fyp, foryoupage",,2900000,13700,189200,150000
2,19,,"fyp, viral, trending, twins",,658800,1286,104300,6502
2,20,,"atl, fyp, viral, skate",,3400000,37800,237100,110900
2,21,,"americanhighshorts, jailbreak, iphonehack, tech",,789400,1357,54200,1675
2,22,,"sandwich, sliders, superbowl, gamedayfood, recipe, snacks, gameday",,421400,9603,88000,30000
2,23,,"mom, love, bday, special, missyou, birthdaygirl, loveyou, memories, babyboy, moments, bestpart",,680000,22000,35000,8874
2,24,,,,103700,1533,4515,517
2,25,,@pipersong_us,,5100000,11100,651900,138600
2,26,,"applevisionpro, apple, tesla, teslacybertruck, cybertruck, viral, trending, future",,768800,14800,52700,25100
2,27,,"fu, erich, money",,1100000,26100,93400,18800
