batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ★ seplix,,brookemonk_,987300,2325,51200,1302
1,1,original sound - goldenbearollie,"comedy?lang=hi-IN, dogsoftiktok?lang=hi-IN, dogmom?lang=hi-IN, goldenretriever?lang=hi-IN",goldenbearollie,1300000,13600,78300,200800
1,2,original sound - sarah.,"winter?lang=hi-IN, harrypotter?lang=hi-IN, ice?lang=hi-IN, icecicles?lang=hi-IN",wetknees777,2800000,12100,203100,54500
1,3,Moot for moot - jjfroshcomedy,"mootanyone?lang=hi-IN, fyppppppppppppppppppppppp?lang=hi-IN",promisegym,68400,23700,7067,20500
1,4,original sound - JSCM_movies,"movies?lang=hi-IN, foryou?lang=hi-IN, movie?lang=hi-IN, movieclips?lang=hi-IN, fyp?lang=hi-IN",jscm_movies6,596500,20000,115400,13100
1,5,الصوت الأصلي - يمنى السيد,"%D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87_%D8%AF%D8%B1%D8%A7%D9%85%D8%A7?lang=hi-IN, %D8%AC%D9%87%D8%A7%D8%AF_%D8%A7%D9%84%D8%B4%D9%85%D8%B1%D9%8A%F0%9F%92%99?lang=hi-IN, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_%D8%B3%D9%88%D8%B1%D9%8A%D9%87?lang=hi-IN, %D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA_?lang=hi-IN",ymnaahajhmod,41800,1470,8546,1664
1,6,original sound - •⊹٭𝕮𝖔𝖘𝖒𝖔٭⊹•,"therian?lang=hi-IN, quadrobics?lang=hi-IN, therianthropy?lang=hi-IN, theriancommunity?lang=hi-IN, quads?lang=hi-IN, therianpride?lang=hi-IN, alterhumancommunity?lang=hi-IN, otherkincommunity?lang=hi-IN, age14?lang=hi-IN, meow?lang=hi-IN, theriantiktok?lang=hi-IN, capcut?lang=hi-IN",0val9,63,10,13,0
1,7,Boss - Sidhu Moose Wala,"@zaaaiinnn1?lang=hi-IN, @rooj786?lang=hi-IN, @badshahonkabadshah02?lang=hi-IN, @shelby.qtr?lang=hi-IN, @umair_nasirr?lang=hi-IN",pathaan1408,9782,0,422,29
1,8,nhạc nền - Meme Love,,memeking8386us1,1400000,8645,123900,90500
1,9,Asn - thsituan._.,,ccabots,203500,4726,125300,3826
2,0,suono originale - nonsoloUFOitaly,"neiperte?lang=hi-IN, ufologia?lang=hi-IN, ufologia%F0%9F%91%BD?lang=hi-IN, ufo?lang=hi-IN, area51?lang=hi-IN",ufoitaly,80800,2584,13700,5769
2,1,whyisthisaudiofamous - molly 💛,,juciarawanderley,58,0,13,11
2,2,Main Titles - Charlie Clouser,,mysteryusa03,11900,63,858,964
2,3,Love Is Beautifully Painful (Ghost Duet Version) - Darkrose,"fyp?lang=hi-IN, foryou?lang=hi-IN, foryoupage?lang=hi-IN, emotional?lang=hi-IN, dad?lang=hi-IN, son?lang=hi-IN, trans?lang=hi-IN, viral?lang=hi-IN",dailytokky,391200,6760,51100,7184
