batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,sonido original - Sosa jhons,,sosajhons,783500,20100,52900,26400
1,1,Meow - Dust☆,"@cofflefish?lang=hi-IN, voiceover?lang=hi-IN, voiceovers?lang=hi-IN, elsa?lang=hi-IN, elsafrozen?lang=hi-IN, anna?lang=hi-IN, annafrozen?lang=hi-IN, frozen?lang=hi-IN, frozenmovie?lang=hi-IN, frozenmoment?lang=hi-IN, frozenmoments?lang=hi-IN, frozenelsa?lang=hi-IN, frozenanna?lang=hi-IN, elsaandanna?lang=hi-IN, annaandelisa?lang=hi-IN, frozenelsaandanna?lang=hi-IN, arendelle?lang=hi-IN, disney?lang=hi-IN, disneymovies?lang=hi-IN, disneymovie?lang=hi-IN, disnevplus?lang=hi-IN, disneyanimation?lang=hi-IN, disneyplus?lang=hi-IN, disneyfrozen?lang=hi-IN, princessanna?lang=hi-IN, queenelsa?lang=hi-IN, princehans?lang=hi-IN, hans?lang=hi-IN, princehansofthesouthernisles?lang=hi-IN, hansofthesouthernisles?lang=hi-IN",risottosimp3000_3.0,47700,1122,9960,2001
1,2,original sound - Vozol,vozol?lang=hi-IN,vozol_official,598100,16600,54100,24700
1,3,sunet original - AL RAFAELO,"rafaelo?lang=hi-IN, darbuka?lang=hi-IN, dubai?lang=hi-IN",rafaelo.ro,132400,992,6926,631
1,4,Alucin - Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,,celiareinah,79700,560,2212,69
1,5,original sound - Ice Queen,"genderreveal?lang=hi-IN, boyorgirl?lang=hi-IN, guess?lang=hi-IN, surprise?lang=hi-IN, mom?lang=hi-IN, dad?lang=hi-IN, icebath?lang=hi-IN, icequeen?lang=hi-IN, coldplunge?lang=hi-IN, fun?lang=hi-IN, family?lang=hi-IN, hubby?lang=hi-IN, parents?lang=hi-IN",itskyajeub,1500000,13700,49200,26300
1,6,midnight sun (ramzoid x hal walker) - ZOID LAND,"hotwheels?lang=hi-IN, hotwheelscollections?lang=hi-IN, tiktokmademebuyit?lang=hi-IN, iphone?lang=hi-IN, fyp?lang=hi-IN, viral?lang=hi-IN",duffletroveu,40400,1533,2654,337
1,7,original sound - Owen Lynch,,hahowen,151100,6812,18600,724
1,8,original sound - riley mae,"interview?lang=hi-IN, streetinterview?lang=hi-IN, tiktokchallenge?lang=hi-IN, challenge?lang=hi-IN, viralchallenge?lang=hi-IN",rileymae,5498,36,532,35
1,9,sonido original - Cocho hd,"viral?lang=hi-IN, fya?lang=hi-IN, reels?lang=hi-IN, reflexiones?lang=hi-IN, triste?lang=hi-IN, espa%C3%B1a%F0%9F%87%AA%F0%9F%87%B8?lang=hi-IN, espa%C3%B1a?lang=hi-IN",cochohd01,5589,50,752,96
