batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,640300,3854,105200,77500
1,1,original sound - Taj.Mahal,,kassieemariee,688800,2198,73500,6055
1,2,Everything Reminds Me Of You - Take Care,"foryoupage, highschool, college, poetry",korijanes,844400,4789,177100,22800
1,3,Tf you aint using the original - 𝐲𝐮𝐢𝐱𝐳⏻,"ramsxnfl, goofynfl",ramsxnfl,583300,8663,57000,7574
1,4,suono originale - SturnioloFamily,"sturniolotriplets, sturniolos, sturniolo, sturniolotripletsedit, sturniolotripletsclips, mattsturniolo, chrissturniolo, nicksturniolo, nicolassturniolo, christophersturniolo, matthewsturniolo, @sturtat",_sturniolofamily_,37900,83,6263,92
1,5,original sound - esli !,"fyp, foryoupage, viral, viral%3F, sneakingout, maruchan, fyp%E3%82%B7",.eslis,425500,1415,52100,447
1,6,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,"fyp, foryou, studentathlete, mom, momsoftiktok, foryoupage",kenna_faithh2,603200,1273,20700,619
1,7,Scream - Horror Sound Effect - Ultimate Horror Sounds,,imnotfaith__03,32500,285,2960,25
1,8,original sound - gianna,screentimecontrol,giannamjoyce,180800,1488,52700,1291
2,0,som original - ruan e cami,"shameless, carlgallagher, whiteboycarl, core, carlcore, shamelessus, foryou, fy, viral, series, fyp, shamelessedit, edit",thecinecouplee,250000,576,34600,1159
2,1,original sound - em ma,"fyp, xyzbca, dedgirl, pinkhair, grwm, makeup, kids, kidsrules, parentingrules",elm0zwrld_,24400,171,1643,13
2,2,this world is sick - Antent,"fyp, crush, viral",joshterrellclips,31600,228,4168,243
2,3,original sound - Anna Kat,"tvshow, fyp, tiktok",tkdyorio,255400,345,13200,248
2,4,original sound - Ray William Johnson,"suitcase, truecrime, sarahboonesuitcase, sarahboone, florida",realraywilliam,742000,2724,47500,3069
2,5,original sound - favorite pakistani,"@aaliyahcosmetics, itscitygirljiya, talkswithme",itscitygirljiya,12500,94,704,9
3,0,Salt water soup - Irongut77,theopphilus,t.heophilus,1500000,5293,54600,4235
3,1,original sound - ★ seplix,,brookemonk_,916000,2102,47300,1180
3,2,original sound - Hesswoodwork,"game, build, catan",hesswoodwork,278400,1398,22700,10800
3,3,original sound - Marii,"marii, fortnite, fortniteclips, fortniteranked, fortnitemoments",mariitv__,408900,4421,35900,1195
3,4,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,2100000,4347,166400,16600
3,5,original sound - Josh Liljenquist,,joshlilj,499000,1383,18400,614
3,6,original sound - brynnchilson,"anniversary, thequeen, cakeflipping, 1year, mytalent, fyp",originalbchillmama,3000000,4844,97200,3006
3,7,fine line acoustic - h,"anxious, anxiety, gad, healthanxiety",100anxietytips,2600000,32000,277800,85900
4,0,original sound - Haley 🌙 | aemkniqht,"fu, erich, money",mezrichest,968300,16800,85900,16500
4,1,original sound - Lifewithmark,"foryou, frenchbulldog, bourboncityfrenchies, frenchbulldogpuppy, creme, cremethefrenchbulldog, frenchies, fyp, share",marks.gallery,1700000,8987,191000,17700
4,2,original sound - handleyourliquor,,bgk.24,1000000,2842,107200,18500
4,3,original sound - Y7,"leahsavajeffries, percyjackson, annabethchase, pjo, walkerscobell",orodbedumb,271000,471,11600,514
4,4,my gf is chae - ONYX • ᴄʜᴏᴜTᴢʏ,"seungmin, kimseungmin, straykids, skz, stay, lovestay, kpop, edit, %EB%8F%85group, capcut",hoodiseason,515400,3510,132000,9009
4,5,jumpstyle1 - voveewwqq((Monsterkill)),"fyp, dog",french_lunch,657200,3919,73900,15700
4,6,original sound - Sierra Brooks,,sierrabbrooks,5700000,21400,203300,134600
5,0,original sound - michelleee 🪩,"mattsturniolo, mattsturnioloedit",marisnoirrs,264200,1396,80700,1820
5,1,original sound - Sam Middleton,,itz_justlola,266500,943,20200,3792
5,2,7AM (Slowed + Reverb) - adrian,"trending, gaming, viral, fortnite, fortniteog, foryoupage, mulletmace, fortnitetipsandtricks, fortnitezerobuild",mulletmace,701500,8090,238300,34800
5,3,"Ocarina Of Time Theme (From ""The Legend Of Zelda"") - Gaming World","fyp%E3%82%B7, viral, trending, dreads, locs",babyfxce.josh,1300000,63600,100000,6664
5,4,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,405800,1732,43800,7016
5,5,original sound - sharko,"fyp, fypages",eli_unique_,174300,2732,17800,3255
