batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,sonido original - Sofia Sierra | FITNESS COACH,"fitness, glutes, gym",sofiasierrac,67500,141,17900,659
1,1,kiss trend - lotte,"fyp, fyp%E3%82%B7, jojo",xjojo.oo,4400000,55300,235300,107400
1,2,STUCK IN A DAZE - SHIIIKARNO,"glutesexercices, legexercise, glutesworkout, legworkout, fitfamgermany, legdayfinisher, legdaymotivation, combinedexercise",_bella_fit,144500,193,60300,3245
1,3,sonido original - Wale Rivera,"curls, curlyhairstyles, rizostransformation, rizosnaturales, curlyhairtutorial, curlyhairroutine, tangleteezer, brushstyling, naturalhair, curlcommunity, curlyhairtips, curlyhairgoals",curly.glorii,855700,1221,203500,15500
1,4,Buscando Money - TWENTY SIX & Tayson Kryss,,yujiung_2003,90100,839,3673,163
1,5,Te Llenaste - El Alfa & Yomel El Meloso & El Fother,,asutoboy,121000,220,5532,405
1,6,sonido original - Jennifer Aplícano,,jennifer_aplicano,446000,4193,26100,8019
1,7,sonido original - Elsort xd 😄,,otakuprox2,33000,4617,2310,3291
1,8,оригинальный звук - 🌸(⌒‐⌒)🌸,"%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%BD%D0%BE%D0%B3%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B0, %F0%9F%99%8A%F0%9F%99%8A",goul._.jean,260300,2288,18300,4047
1,9,Una Foto Remix - Emilia,"fyp, parati, a%C3%B1a%C3%B1ais",soymaaleja,199300,2085,6927,151
1,10,sonido original - Johnny🎧,"ootd, outfit, fpy%E3%82%B7, k%C9%99%C5%9Ffettt, chinesehandsomeboy",ttt999mm1997,19200,170,1112,96
2,0,Mek It Bunx Up - Deewunn & Marcy Chin,"tlf0999624675, alboradaguayaquil, ecuador%F0%9F%87%AA%F0%9F%87%A8, ecuadortiktok, guayaquil_ecuador, guayas, local, xyzbeca, closettboutique1, norte, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, foryou, centro, bahia, top, faldacargo, astetic",closettboutique1,2790,26,274,214
2,1,Kapibara - Capybara,"capybara, gift, plush, capibaralove",capibaraashop,104200,1252,15500,10700
2,2,original sound - speed songs 🤩,,adrirvvl,236700,610,14400,222
2,3,Acróstico (Solo Version) - Shakira,,figueredo613,31200,289,1519,416
2,4,Boy With Luv - BTS,"@karencuevah, @itsnattjacobs, @hello_kito, @iminsomnio, bts",starskooo_,26500,110,1567,68
