batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,sonido original - Erick_aep🎗️,"capcut, capcutplantilla, iamferv, velocity, erick_aep, apoyo%3F, fyp%E3%82%B7, foryou, parati, viralvideo, aftereffects",erick_aep,126800,1710,19200,920
1,1,sonido original - Viridiana López,"@zonadeespantos, fyp, fyp%E3%82%B7%E3%82%9A, fy%C3%B1%E3%82%B7%E3%82%9Aviral, hazmeviral, parati, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, risastiktok, risa, risastiktok",viridiana.lopez3,1100000,19700,81900,32100
1,2,sonido original - Kimberly Loaiza,,kimberly.loaiza,704700,5476,46500,9778
1,3,original sound - BLZD XT RyGuy,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",xtryguy,1200000,4490,127200,12100
1,4,sonido original - Lu@,,angelitodelaa,178000,2399,7338,2410
1,5,原聲 - strawberryjam1986,"keyboardasmr, keyboard, customizedkeyboard, cutekeyboard, keyboardart, lofree",strawberryjam1986,599400,22300,90700,28500
1,6,Right Round - Flo Rida,"starwars, lightsabers, starwarstiktok, lightsaberspin, lightsaber",lavasheastudio,503100,3641,46700,8549
1,7,original sound - I LOVE JESUS♥,"jesus, prayer, bible, christianity, dios, pray, bibliae",usa.jesusloveyou,87900,19900,27300,4211
1,8,morena 420 tornillo _Lgante - kd/poetas/delavida/375,"tornillooficial444, fyp, tornillovazquez",tornillooficial444,256899,1556,14700,1290
2,0,love song (hesitations) (sped up) - Lofuu & Shiloh Dynasty & dprk,,viicky.27,95800,506,6713,1529
2,1,HARLEY QUINN - Fuerza Regida & Marshmello,"eternalroses, bouquet, eternalrosebouquet, roses, ribbonroses, fyp, foreverroses, ramobuchon, rosaseternas",nicolesbouquets_,635400,1110,143100,22400
2,2,original sound - TrainPal,"dogsoftiktok, fyp",nadaliaaaa,7900000,19100,344700,75800
2,3,original sound - Robegrill Channel - Robegrill offical,"usa, quechilleee%F0%9F%98%AD, food, receta, recipe, grill, foodie",robegrill_fan_,969900,2718,54400,2071
2,4,"sonido original - NUEVO AÑO, NUEVO CAMBIO","monkeys, fyp%E3%83%84, yo, monitos, monos, viral, tiktok, fup%E3%82%B7, changos, fyp%E3%82%B7%E3%82%9Aviral, yo",01_iialejandr0,257000,1392,31100,15600
2,5,Love You So - The King Khan & BBQ Show,"leidys_sotolongo, parati, comedia, xyzbca, fypg, pov, vikingos, navidad, funny",gegj36,30900,96,2125,133
2,6,Los Besos Que Te Di - Kim Loaiza,,kimberly.loaiza,890500,11700,49000,2048
2,7,sonido original - Kimberly Loaiza,,kimberly.loaiza,1900000,9219,95300,5688
2,8,morena 420 tornillo _Lgante - kd/poetas/delavida/375,"tornillooficial444, fyp, tornillovazquez",tornillooficial444,391400,2373,25300,2674
2,9,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"boardgames, gamenight, couple, fun",games4two,1600000,3680,89900,26600
2,10,original sound - The Antiquated Gent,"@maximfeyenoord, theantiquatedgent, asmr, fyp, shavetiktok, replyingtocomments, shavescience",theantiquatedgent,422300,16500,21500,347
2,11,jumpstyle1 - voveewwqq((Monsterkill)),"fyp, dog",french_lunch,667600,3963,75200,15800
2,12,original sound - Adro💰©️,"wockhardt03, xzyabc, relatable, viral, famous",wockhardt03,1400000,5284,129500,12500
2,13,original sound - samiyaffarocks,fyp,jayroxxx,312500,935,17500,915
2,14,original sound - Music Boxing Machine,"fitness, boxingtraining, boxingdiay, boxing%F0%9F%A5%8A, boxingfans, boxingmachine, musicboxingmachine, boxinglife, boxingmachinetrend, boxingmachinechallenge, funny, foryou, usa_tiktok",24fitnessclub,787800,5548,92300,16800
2,15,original sound - Force_Effects,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",force_effects,694200,15100,71800,129000
2,16,The Box (Sped Up Version) - sped up nightcore,"cr7, messi, championsleague, barcelona",moneyuser777,114400,6248,8482,592
2,17,Mmhmm - BigXthaPlug,"fyp, foryou, bracelets, colorful, teacher, 5thgrade, drip, viral, fyp%E3%82%B7, blowthisup, trending, xyzabc, xyzbcafyp%E3%82%B7, fyppppppppppppppppppppppp",elijahkobe17,218100,1351,11800,407
2,18,sonido original - Gloria Quintana Jimé,"sue%C3%B1oamericano%F0%9F%87%AE%F0%9F%87%B9%F0%9F%87%BA%F0%9F%87%B8%F0%9F%90%90, viviendoelsue%C3%B1oamericano, colombianosenelexterior, colombia%F0%9F%87%A8%F0%9F%87%B4, fyppppppppppppppppppppppp, estadosunidos%F0%9F%87%BA%F0%9F%87%B8, escuelasenusa%F0%9F%87%BA%F0%9F%87%B8, empezardecero",julieths27,46800,1264,2980,5409
2,19,original sound - E L I,"guadalajara, mexico, fyp, support",eliroodriguez_,276000,877,28600,4772
