batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,sonido original - Erick_aep🎗️,"capcut, capcutplantilla, iamferv, velocity, erick_aep, apoyo%3F, fyp%E3%82%B7, foryou, parati, viralvideo, aftereffects",erick_aep,126700,1710,19100,919
1,1,,"serverlife, serverproblems, servertiktok, servers",,145500,0,21800,844
1,2,,,,331300,7011,29700,2749
1,3,,,kimberly.loaiza,704100,5479,46400,9700
1,4,,,,759400,9537,213800,259800
1,5,,"fyp, dog",,658900,3930,74100,15700
1,6,,,,467700,2150,58800,71700
1,7,,"samsungs9, galaxys9, s9, cheapmobiledubai, malikmubashar333",,72700,994,3451,1730
1,8,,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",,255300,5309,83800,5548
2,0,,,,5600000,8881,374000,28100
2,1,,,brookemonk_,951100,2204,49200,1221
2,2,,,,401000,893,41300,548
2,3,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4411,124200,11900
2,4,,,,6000000,40200,405800,114800
2,5,,"paratii, viral, parejasdetiktok%E2%9C%A8%F0%9F%92%8D, dediquen%F0%9F%92%98%F0%9F%91%80, tiktokponmeenparati, viralvideo, enparati, freefireedits, fyp%F0%9F%A4%B4%F0%9F%8F%BB, sooyyiselhn, paratunovio, paramiamorcito, juntoshastaelfin",,105300,3290,17800,11900
2,6,,"molcajete, foodtok",,320000,4852,21000,24500
2,7,,"fyp, palrancho, fuga, uzielpartida, eluziel, bailes, jalisco, mexicanos, banda, huapango, huapangos, vaquero, cowboy, baila, desmadre, uzielgonzalez, purobailando, estilorancho, ni%C3%B1a, 13a%C3%B1os, family, familia, zapateado, celos, toxico, hermano, celeste",,1400000,1760,82600,2835
2,8,,,louiecastro,397900,399,14800,611
2,9,,"foryou, sunsets",,3400000,17400,475700,32800
2,10,,"capcut, perritostiktokers, yavalio, perritosasustados, fronteramexicousa, tacosmexico, purasfallas",,86300,709,7862,10400
2,11,,"shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7, nike, airforce, viral, trending, sneakers",,183600,211,56900,7429
2,12,,"%D0%BA%D0%B0%D0%BF%D0%BA%D1%83%D1%82, capcut, %D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD, %D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D1%8B%D0%B4%D0%BB%D1%8F%D0%BA%D0%B0%D0%BF%D0%BA%D1%83%D1%82, fyp, foryou, trending, templatecapcut, template",,159700,319,47300,1225
2,13,,"construction, constructionsite, adamrose, adamrose99, funny, funnyvideos",,512299,717,20000,617
2,14,,duet,,711500,7279,90200,27900
2,15,,,,348300,1130,24400,1642
2,16,,,keniaos,2300000,11900,81200,3413
2,17,,"handwriting, handwritingchallenge, 50statessong, fyp, handwritingcheck, handwritingvideos, norashandwriting",,231700,1201,39600,1369
2,18,,"mylifewiththewalterboys, fyp, jackiehoward, vero, nikkirodriguez, edit, viral, fyfy",,529400,2032,68000,2190
2,19,,"fyp, viral, blowthisup",,1400000,4941,202700,13800
2,20,,"@migheadgh0, carbonfiber, keyrambit, carsoftiktok, viral, dropshippers",,105900,2851,11300,177
2,21,,"waterbeads, sportsballoons, popballoons, mysteryprizes, vegastiktok",gettishow,213100,6833,16200,1540
2,22,,,,315700,2679,34000,3835
2,23,,"carlos_eduardo_espina, chicoruizzzz, @carly2726, @just.norag, @cristal.la.chapis.87, @veronica_iba, @chofis0568, @chicoruizzz, @lunabarahona, @soynaty35",,116100,980,6980,25500
2,24,,"dragonball, animation, satisfying",,749900,5161,93900,41100
2,25,,"fyp, tiktok, viral",,328300,476,16500,190
2,26,,"cr7, messi, championsleague, barcelona",,110700,6066,8224,518
2,27,,,kimberly.loaiza,884700,11600,48700,2030
2,28,,"capcut, tiktoktrending, hockeyplayer, viralhockey, hockeytrending, nhlgameday, flapanthers, gamedayready, montour, brandonmontour, nhl, nhltiktoks, nhlvideos, trendingnhl, @flapanthers, @nhl",,2500000,3022,197200,3548
