batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,nhạc nền - Meme Love,,,1400000,8147,123700,90200
1,1,Creepy and simple horror background music(1070744) - howlingindicator,"foryou, disney, fyp%E3%82%B7, fyp",,733900,10700,60300,1544
1,2,original sound - Kervo.dolo,"fyp, foryoupage",,6200000,43100,573300,126400
1,3,الصوت الأصلي - جميل الحسن,,,7072,110,447,213
1,4,الصوت الأصلي - ♥️princess dodo👑,dodoamr,,79700,2374,8398,1166
1,5,som original - LG,"%D9%85%D8%A7%D8%B1%D9%8A, fyp, fyp%E3%82%B7, meri, meri_v5, viral",,91500,1330,6929,473
1,6,original sound - Ghina|غِنى,"@yanalalkhayat, %D9%8A%D9%86%D8%A7%D9%84_%D8%A7%D9%84%D8%AE%D9%8A%D8%A7%D8%B7, %D8%A7%D9%84%D8%A7%D8%B1%D8%AF%D9%86",,1200000,23200,140300,35900
1,7,original sound - Zach King,,,580400,4059,27600,4653
1,8,original sound - tmyf 🎧,"kira%F0%9F%92%95, ilora%F0%9F%92%95, viral, %E2%AD%90%EF%B8%8F, iloraismine, %F0%9F%91%A9%F0%9F%8F%BD%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BD",,76,6,19,0
1,9,original sound - Mostafa Ashraf,,,206900,1132,10100,1115
1,10,"i just farted - 𖦹 jelly, 🪲","sama28, fyp%E3%82%B7, floptok, relatable, tiktoksa",,1500000,20000,151100,32100
2,0,Originalton - عماد ابو الفراجين,"%D9%88%D8%B7%D9%86_%D8%B9%D9%84%D9%89_%D9%88%D8%AA%D8%B1, %D8%A7%D8%A8%D9%88_%D8%A7%D9%84%D9%81%D8%B1%D8%A7%D8%AC%D9%8A%D9%86, %D8%B9%D9%85%D8%A7%D8%AF_%D9%81%D8%B1%D8%A7%D8%AC%D9%8A%D9%86, %D8%B9%D9%85%D8%A7%D8%AF_%D9%81%D8%B1%D8%A7%D8%AC%D9%8A%D9%86_%D9%88%D8%B7%D9%86_%D8%B9_%D9%88%D8%AA%D8%B1_%D8%A7%D8%A8%D9%88_%D8%A7%D9%84%D9%81%D8%B1%D8%A7%D8%AC%D9%86, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1explore, %D9%83%D9%88%D9%85%D9%8A%D8%AF%D9%8A%D8%A7, %D8%A7%D9%84%D8%B4%D8%B9%D8%A8_%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A_%D9%85%D8%A7%D9%84%D9%87_%D8%AD%D9%84%F0%9F%98%82%F0%9F%98%82, %D9%84%D8%A8%D9%86%D8%A7%D9%86_%D9%85%D8%B5%D8%B1_%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC_%D8%B3%D9%88%D8%B1%D9%8A%D8%A7_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82_%D8%A7%D9%84%D8%A7%D8%B1%D8%AF%D9%86, foryou, %D8%B9%D8%B1%D8%A8, %D9%83%D9%88%D9%85%D9%8A%D8%AF%D9%8A, viral",,139100,2989,20600,9459
2,1,You Found Me - Instrumental Pop Songs,"viral, fyp%E3%82%B7%E3%82%9Aviral, valentinesday, bestgift, viraltiktok",,181100,389,12400,393
2,2,original sound - Mr funny,"meme, memecut",,22,1,5,0
2,3,Everytime We Touch - Cascada,"lifeinkorea, couple, coupledance",,658300,4558,40300,4261
2,4,original sound - Power Slap,,,1300000,8748,65300,34100
2,5,original sound - marsya bunga,"aera, aegyochallenge, kdrama, fightformyway",,1300000,4154,92500,5863
2,6,original sound - Mr bell,"meme, memecut",,3,0,1,0
2,7,original sound - Ahmed Selim,,,1000000,8580,94400,17000
2,8,original sound - Mohd Magdi,,,132900,3629,11100,1468
2,9,original sound - TheRealHammyTV,"wife, comedy, fyp",,37500,182,2096,243
2,10,original sound - Respect,"fyp, foryou, viralvideo, funnyvideos, lion%F0%9F%A5%80%F0%9F%98%B1%F0%9F%A5%B7%F0%9F%8F%BF%F0%9F%9A%80",,1100000,38700,90400,174800
2,11,original sound - alex,,,193000,2352,10000,4354
2,12,original sound - cartoon club,"%F0%9F%A4%A3, %F0%9F%98%85, %F0%9F%A4%AA, %F0%9F%98%80, %F0%9F%98%81, %E2%98%BA%EF%B8%8F, %F0%9F%98%98, part185, tomandjerry, childhoodanimation, carrtoon, jerryandtom, animation, carttoon, carrtoonnetwork, cartoonclips, cartoonclips2023, dhaka, phnompenhcity, bangkok, guatemala, jakarta, thecatandthemouse, foryou, fyp, funny, funnyvideos, usa, tommejerry90, viral, cartoonbox, cartonianimaticchallenge, foryou, cartonianimati, thecatandthemouse, tomjerry, cartoonnetwork, cartoo, perte, nepalitiktok, cartoonbox, tom, jerry, nepal, pakistan, indonesia, philippines, vietnam, bangladesh, myanmar, thailand, iraq, kazakhstan, mexico, foryou, foryoupage, fortnite, millionsviews, %E3%83%88%E3%83%A0%E3%82%B8%E3%82%A7%D1%80%D0%B8%E7%A7%8B%E3%81%AE%E6%80%A5%E3%81%97%E3%81%97%E6%96%B9, %E3%83%88%E3%83%A0%E3%82%B8%E3%82%A7%D1%80%D0%B8, %E3%83%94%E3%83%AD%E3%83%BC%E3%83%89, %E3%83%94%E3%82%AF%E3%83%8B%E3%83%83%E3%82%AF, tomandjerryyyyyyyyy, cartoon, childhoodaamation, cartoonnetwork404cc, cartoonclips__, thecatandthemouse, classiccartoon, cartoonlover, foryouvirall, funnyvideos, funny, funny, foryou, fyp, fyp%E3%82%B7, capcut",,6086,29,456,81
2,13,original sound - BL@CK B@SS,"pubgmobile, newtrend",,119600,803,5251,820
